Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2017-10-01,6.4400,2018-01-07,6.7200,69 days,4.35%,4.3478%,Rise by 4.35%,4.3478%,
Buy,2020-04-12,5.7500,2020-06-07,6.9600,39 days,21.04%,21.0435%,Rise by 21.04%,25.3913%,
Buy,2022-02-27,7.1200,2022-03-20,7.9300,14 days,11.38%,11.3764%,Rise by 8.57%,36.7677%,
Buy,2023-09-24,7.7900,2023-12-03,8.0700,49 days,3.59%,3.5944%,Rise by 12.97%,40.3621%,
Buy,2024-05-12,7.7900,2024-12-15,8.2000,154 days,5.26%,5.2632%,Rise by 1.28%,45.6252%,
