Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-03-04,77.4500,2022-03-17,80.9700,9 days,4.54%,4.5449%,Rise by 5.73%,4.5449%,
Buy,2022-04-14,74.5000,2022-04-20,76.1500,4 days,2.21%,2.2148%,Rise by 3.41%,6.7596%,
Buy,2022-04-28,73.1600,2022-05-27,75.6100,21 days,3.35%,3.3488%,Rise by 5.3%,10.1085%,
Buy,2022-06-17,66.3500,2022-07-14,59.6800,19 days,-10.05%,-10.0528%,Rise by -10.05%,0.0557%,
Buy,2022-07-18,61.3800,2022-07-19,63.6800,1 days,3.75%,3.7471%,Rise by 12.3%,3.8029%,
Buy,2023-03-03,65.4900,2023-03-09,61.8900,4 days,-5.50%,-5.4970%,Rise by -13.39%,-1.6942%,
Buy,2023-03-14,59.2500,2023-04-03,61.6100,14 days,3.98%,3.9831%,Rise by 3.98%,2.2890%,
Buy,2023-08-28,60.3000,2023-08-30,61.6400,2 days,2.22%,2.2222%,Rise by 3.07%,4.5112%,
Buy,2023-10-05,57.9400,2023-10-10,59.3100,3 days,2.36%,2.3645%,Rise by 7.02%,6.8757%,
Buy,2023-10-26,55.9700,2023-11-02,58.0800,5 days,3.77%,3.7699%,Rise by 10.79%,10.6456%,
Buy,2024-01-17,59.1100,2024-01-22,60.6200,3 days,2.55%,2.5546%,Rise by 2.25%,13.2001%,
Buy,2024-10-16,56.3500,2024-12-06,51.9600,37 days,-7.79%,-7.7906%,Rise by 1.03%,5.4095%,
Buy,2024-12-10,53.1100,2025-01-07,54.6400,20 days,2.88%,2.8808%,Rise by 8.3%,8.2903%,
