Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2011-10-02,16.18,2014-03-30,51.27,649 days,216.830000%,216.830000%,Rise by -31.090000%,216.830000%,
Buy,2014-11-02,56.11,2017-06-18,152.38,684 days,171.570000%,171.570000%,Rise by -13.400000%,388.400000%,
Buy,2018-12-02,286.13,2025-03-09,891.11,1634 days,211.440000%,211.440000%,Rise by 26.870000%,599.840000%,
