Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2008-01-31,9.46,2014-10-31,37.78,1760 days,299.580000%,299.580000%,Rise by -16.760000%,299.580000%
Buy,2022-05-31,78.5,2022-05-31,78.5,0 days,0.00%,0.00%,Rise by 0%,299.580000%
