Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-12-13,108.37,2016-04-24,107.98,2015-11-22,Buy,19 Weeks,-0.36%,Rise by -11.07%,-0.36%,Absolute Extrema Case,
2016-02-21,99.83,2016-04-24,107.98,2016-02-07,Buy,9 Weeks,8.16%,Rise by 10.0%,7.8%,Normal Case,
2016-05-15,104.28,2016-11-13,118.77,2016-05-01,Buy,26 Weeks,13.9%,Rise by 15.43%,21.7%,Normal Case,
2016-05-22,105.89,2016-11-13,118.77,2016-05-08,Buy,25 Weeks,12.16%,Rise by 13.67%,33.86%,Normal Case,
2016-08-07,117.09,2016-11-13,118.77,2016-07-31,Buy,14 Weeks,1.43%,Rise by 2.8%,35.3%,Normal Case,
2016-08-28,117.9,2016-11-13,118.77,2016-08-21,Buy,11 Weeks,0.74%,Rise by 15.17%,36.04%,Normal Case,
2016-09-04,118.83,2016-11-13,118.77,2016-08-28,Buy,10 Weeks,-0.05%,Rise by 14.27%,35.99%,Normal Case,
2016-09-25,119.44,2017-01-01,121.5,2016-09-04,Buy,14 Weeks,1.72%,Rise by 13.69%,37.71%,Normal Case,
2016-10-16,119.06,2017-01-01,121.5,2016-07-03,Buy,11 Weeks,2.05%,Rise by 14.05%,39.76%,Local Extrema Case,
2016-10-23,119.93,2017-01-01,121.5,2016-10-02,Buy,10 Weeks,1.31%,Rise by 13.22%,41.07%,Normal Case,
2016-10-30,119.71,2017-01-01,121.5,2016-10-23,Buy,9 Weeks,1.5%,Rise by 13.43%,42.56%,Normal Case,
2017-01-15,125.5,2017-04-09,134.63,2016-12-25,Buy,12 Weeks,7.27%,Rise by 8.2%,49.84%,Normal Case,
2017-01-29,128.39,2017-04-09,134.63,2017-01-22,Buy,10 Weeks,4.86%,Rise by 5.76%,54.7%,Normal Case,
2017-03-12,134.73,2017-06-25,145.34,2017-03-05,Buy,15 Weeks,7.88%,Rise by 9.08%,62.57%,Normal Case,
2017-03-26,134.19,2017-06-25,145.34,2017-03-12,Buy,13 Weeks,8.31%,Rise by 9.52%,70.88%,Normal Case,
2017-04-09,134.63,2017-06-25,145.34,2017-03-19,Buy,11 Weeks,7.96%,Rise by 9.16%,78.84%,Normal Case,
2017-05-21,141.53,2017-08-13,146.0,2017-05-07,Buy,12 Weeks,3.16%,Rise by 4.77%,82.0%,Normal Case,
2017-08-20,146.16,2017-12-17,166.46,2017-08-13,Buy,17 Weeks,13.89%,Rise by 14.79%,95.89%,Normal Case,
2017-10-29,161.99,2018-02-11,164.59,2017-10-22,Buy,15 Weeks,1.61%,Rise by 10.62%,97.49%,Normal Case,
2017-11-19,164.64,2018-02-11,164.59,2015-12-13,Buy,12 Weeks,-0.03%,Rise by 8.84%,97.46%,Tangent Case,
2017-11-19,164.64,2018-02-11,164.59,2017-11-05,Buy,12 Weeks,-0.03%,Rise by 8.84%,97.43%,Normal Case,
2018-02-11,164.59,2018-07-01,181.4,2017-10-01,Buy,20 Weeks,10.21%,Rise by 23.22%,107.64%,Local Extrema Case,
2018-02-25,177.51,2018-07-01,181.4,2018-02-04,Buy,18 Weeks,2.19%,Rise by 14.25%,109.83%,Normal Case,
2018-03-11,184.31,2018-07-01,181.4,2018-02-25,Buy,16 Weeks,-1.58%,Rise by 10.03%,108.26%,Normal Case,
2018-04-08,167.2,2018-07-01,181.4,2017-12-10,Buy,12 Weeks,8.49%,Rise by 21.29%,116.75%,Local Extrema Case,
2018-05-06,176.88,2018-09-30,202.56,2018-04-29,Buy,21 Weeks,14.52%,Rise by 14.65%,131.27%,Normal Case,
2018-05-13,183.07,2018-09-30,202.56,2018-04-22,Buy,20 Weeks,10.65%,Rise by 10.78%,141.91%,Normal Case,
2018-06-03,186.32,2018-09-30,202.56,2018-05-27,Buy,17 Weeks,8.72%,Rise by 8.84%,150.63%,Normal Case,
2018-12-09,173.67,2019-05-19,204.0,2018-11-25,Buy,23 Weeks,17.46%,Rise by 23.04%,168.09%,Normal Case,
2019-03-17,198.89,2019-05-19,204.0,2019-02-24,Buy,9 Weeks,2.57%,Rise by 7.44%,170.66%,Normal Case,
2020-01-12,252.38,2020-09-20,297.37,2019-12-29,Buy,36 Weeks,17.83%,Rise by -12.98%,188.49%,Normal Case,
2020-02-09,264.98,2020-09-20,297.37,2020-01-19,Buy,32 Weeks,12.22%,Rise by -21.54%,200.71%,Normal Case,
2020-03-08,235.83,2020-09-20,297.37,2019-12-08,Buy,28 Weeks,26.1%,Rise by 38.72%,226.81%,Local Extrema Case,
2020-04-05,202.51,2020-09-20,297.37,2020-03-15,Buy,24 Weeks,46.84%,Rise by 61.55%,273.65%,Normal Case,
2020-05-17,247.68,2020-09-20,297.37,2020-05-10,Buy,18 Weeks,20.06%,Rise by 32.09%,293.71%,Normal Case,
2020-05-24,256.72,2020-09-20,297.37,2020-02-02,Buy,17 Weeks,15.83%,Rise by 27.43%,309.55%,Local Extrema Case,
2020-06-14,264.2,2020-09-20,297.37,2020-06-07,Buy,14 Weeks,12.55%,Rise by 23.83%,322.1%,Normal Case,
2020-06-21,272.58,2020-09-20,297.37,2020-05-31,Buy,13 Weeks,9.09%,Rise by 20.02%,331.2%,Normal Case,
2020-12-27,352.88,2021-03-07,348.4,2020-12-20,Buy,10 Weeks,-1.27%,Rise by 7.86%,329.93%,Normal Case,
2021-01-31,351.3,2021-05-16,364.12,2021-01-17,Buy,15 Weeks,3.65%,Rise by 10.02%,333.58%,Normal Case,
2021-02-07,370.7,2021-05-16,364.12,2021-01-24,Buy,14 Weeks,-1.78%,Rise by 4.26%,331.8%,Normal Case,
