Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-12-06,23.6800,2021-12-15,24.6000,7 days,3.89%,3.8851%,Rise by 4.9%,3.8851%,
Buy,2022-03-15,18.3900,2022-03-16,20.7500,1 days,12.83%,12.8331%,Rise by 29.74%,16.7182%,
Buy,2022-09-28,17.6700,2022-10-04,18.3900,4 days,4.07%,4.0747%,Rise by 40.52%,20.7929%,
Buy,2023-02-23,20.5100,2023-03-15,18.2000,14 days,-11.26%,-11.2628%,Rise by -11.26%,9.5301%,
Buy,2023-03-20,18.4600,2023-03-28,19.2700,6 days,4.39%,4.3879%,Rise by 7.91%,13.9180%,
Buy,2023-08-18,22.2300,2023-08-21,22.8000,1 days,2.56%,2.5641%,Rise by 3.33%,16.4821%,
Buy,2023-09-08,21.4800,2023-09-11,22.6900,1 days,5.63%,5.6331%,Rise by 1.54%,22.1152%,
Buy,2024-04-22,24.6700,2024-05-03,25.8100,9 days,4.62%,4.6210%,Rise by 34.05%,26.7362%,
Buy,2024-07-29,29.9200,2024-08-05,24.2000,5 days,-19.12%,-19.1176%,Rise by -13.57%,7.6186%,
Buy,2024-08-06,24.7100,2024-08-07,26.2700,1 days,6.31%,6.3132%,Rise by 19.99%,13.9318%,
Buy,2024-11-19,28.1900,2024-11-29,29.9500,8 days,6.24%,6.2433%,Rise by 11.49%,20.1751%,
Buy,2024-12-24,28.3600,2025-01-03,29.6800,8 days,4.65%,4.6544%,Rise by 20.24%,24.8296%,
Buy,2025-03-05,27.1700,2025-04-03,23.4400,21 days,-13.73%,-13.7284%,Rise by 1.29%,11.1012%,
