Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2008-03-31,15.93,2008-06-30,15.0,2004-12-31-2008-03-31,3.0-19.3,Sell,65 days,5.84%,Fall by 31.0%,5.84%,
2011-09-30,30.94,2011-12-31,29.5,2008-12-31-2011-06-30,3.07-45.5,Sell,65 days,4.65%,Fall by 30.14%,10.49%,
2013-06-30,20.61,2013-09-30,25.52,2012-06-30-2012-12-31,23.11-41.18,Sell,65 days,-23.82%,Fall by 12.46%,-13.33%,
2015-06-30,21.65,2017-06-30,25.76,2008-12-31-2011-06-30,3.07-45.5,Buy,523 days,18.98%,Rise by 12.66%,5.65%,
2016-12-31,25.94,2017-06-30,25.76,2016-03-31-2016-09-30,14.51-40.8,Sell,129 days,0.69%,Fall by 12.27%,6.35%,
2019-03-31,31.81,2019-03-31,31.81,2016-03-31-2016-09-30,14.51-40.8,Buy,0 days,0.0%,Rise by 0%,6.35%,
2020-12-31,53.16,2021-03-31,48.0,2018-09-30-2020-09-30,19.87-76.69,Sell,64 days,9.71%,Fall by 6.81%,16.05%,
2021-03-31,48.0,2021-06-30,54.64,2008-12-31-2020-09-30,3.07-76.69,Sell,65 days,-13.83%,Fall by 15.12%,2.22%,
2021-09-30,47.68,2021-12-31,54.28,2012-06-30-2020-09-30,23.11-76.69,Sell,66 days,-13.84%,Fall by 17.59%,-11.62%,
2021-12-31,54.28,2022-06-30,46.38,2012-12-31-2016-03-31,24.03-33.65,Sell,129 days,14.55%,Fall by -78.09%,2.93%,
2022-06-30,46.38,2022-06-30,46.38,2016-03-31-2020-09-30,14.51-76.69,Buy,0 days,0.0%,Rise by 0%,2.93%,
2023-03-31,65.09,2023-03-31,65.09,2008-12-31-2020-09-30,3.07-76.69,Buy,0 days,0.0%,Rise by 0%,2.93%,
2023-09-30,55.12,2023-12-31,65.37,2022-09-30-2023-06-30,39.05-71.39,Sell,64 days,-18.6%,Fall by -107.21%,-15.66%,
2024-09-30,82.6,2024-09-30,82.6,2022-09-30-2023-06-30,39.05-71.39,Buy,0 days,0.0%,Rise by 0%,-15.66%,
2025-11-03,135.45,2025-11-03,135.45,2024-03-31-2025-11-03,52.15-160.44,Sell,0 days,-0.0%,Fall by 0%,-15.66%,
