Symbol,Target for which Price has achieved over 90 percent of gain %,Current Trading Date/Price[$],Entry Signal Date/Price[$],Number of Trades/Historic Win Rate [%],Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Interval,Function,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType
BRK-B,481.0625 (Historic Rise or Fall to Pivot)/482.17 (Exit Rule),2025-10-28 (Price: 481.44),2025-09-10 (Price: 490.08),33/87.88%,-44.32%/-15.67%,"1.76%, 34 days",4.43%/0.09%/1.39%,268.082 (Horizontal)/449.7662 (F-Stack 1)/405.99 (F-Stack 2),Daily,OSCILLATOR DELTA,87.5%/16/5 days (Across ALL Assets),60.98%/41/6 days (Across ALL Assets),target_achieved
