Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-22,91.93,2016-04-17,102.24,2015-11-15,Buy,21 Weeks,11.22%,Rise by 14.02%,11.22%,Absolute Extrema Case,
2015-12-06,95.46,2016-04-17,102.24,2015-11-29,Buy,19 Weeks,7.1%,Rise by 9.81%,18.32%,Normal Case,
2015-12-27,98.86,2016-04-17,102.24,2015-12-13,Buy,16 Weeks,3.42%,Rise by 6.03%,21.74%,Normal Case,
2016-01-10,93.56,2016-04-17,102.24,2015-12-20,Buy,14 Weeks,9.28%,Rise by 12.04%,31.01%,Normal Case,
2016-02-21,97.59,2016-05-29,96.94,2016-02-07,Buy,14 Weeks,-0.67%,Rise by 7.44%,30.35%,Normal Case,
2016-05-08,104.85,2016-08-21,97.0,2016-05-01,Buy,15 Weeks,-7.49%,Rise by -10.79%,22.86%,Normal Case,
2016-07-03,95.0,2017-02-05,75.46,2016-06-26,Buy,31 Weeks,-20.57%,Rise by -12.25%,2.29%,Normal Case,
2016-08-07,97.37,2017-02-05,75.46,2016-07-31,Buy,26 Weeks,-22.5%,Rise by -11.27%,-20.21%,Normal Case,
2016-10-23,87.41,2017-02-05,75.46,2016-10-09,Buy,15 Weeks,-13.67%,Rise by -5.96%,-33.88%,Normal Case,
2017-01-01,78.91,2017-05-21,76.32,2016-12-18,Buy,20 Weeks,-3.28%,Rise by 4.47%,-37.16%,Normal Case,
2017-01-08,82.2,2017-05-21,76.32,2016-12-25,Buy,19 Weeks,-7.15%,Rise by 0.29%,-44.32%,Normal Case,
2017-03-12,80.4,2017-05-21,76.32,2017-03-05,Buy,10 Weeks,-5.07%,Rise by 2.54%,-49.39%,Normal Case,
2017-04-16,77.96,2017-07-16,77.93,2017-04-09,Buy,13 Weeks,-0.04%,Rise by 3.21%,-49.43%,Normal Case,
2017-07-02,80.46,2017-10-08,76.92,2017-06-25,Buy,14 Weeks,-4.4%,Rise by 3.37%,-53.83%,Normal Case,
2017-08-13,79.41,2017-12-17,73.08,2017-07-30,Buy,18 Weeks,-7.97%,Rise by -13.12%,-61.8%,Normal Case,
2017-08-20,77.66,2017-12-17,73.08,2017-08-13,Buy,17 Weeks,-5.9%,Rise by -11.16%,-67.7%,Normal Case,
2017-10-01,81.32,2017-12-17,73.08,2017-09-24,Buy,11 Weeks,-10.13%,Rise by -13.08%,-77.83%,Normal Case,
2017-11-19,70.68,2018-02-18,71.9,2017-11-12,Buy,13 Weeks,1.73%,Rise by 16.03%,-76.1%,Normal Case,
2017-12-31,72.5,2018-05-13,64.41,2017-12-24,Buy,19 Weeks,-11.16%,Rise by -16.06%,-87.26%,Normal Case,
2018-04-08,63.38,2018-07-08,66.48,2018-04-01,Buy,13 Weeks,4.89%,Rise by 13.88%,-82.37%,Normal Case,
