Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1975-06-30,0.94,1975-09-30,0.62,66 days,1975-04-30/0.7818,-33.98%,-33.98%,Rise by -18.45%,-33.98%,
Buy,1979-03-31,0.78,1980-02-29,0.6,239 days,1978-06-30/0.7614,-23.19%,-23.19%,Rise by -14.49%,-57.17%,
Buy,1980-06-30,0.93,1981-02-28,1.52,174 days,1979-06-30/0.8636,63.41%,63.41%,Rise by 53.66%,6.25%,
Buy,1981-03-31,1.67,1982-02-28,1.22,238 days,1981-02-28/1.5227,-27.21%,-27.21%,Rise by -27.21%,-20.97%,
Buy,1984-01-31,1.51,1987-06-30,2.6,890 days,1983-09-30/1.4318,72.18%,72.18%,Rise by -18.05%,51.21%,
Buy,1987-07-31,2.94,1988-07-31,4.77,260 days,1987-06-30/2.6023,62.16%,62.16%,Rise by 36.68%,113.37%,
Buy,1988-11-30,4.98,1990-09-30,3.69,477 days,1988-07-31/4.7727,-25.80%,-25.80%,Rise by 11.87%,87.57%,
Buy,1993-03-31,3.84,1994-02-28,6.15,238 days,1992-12-31/3.4125,60.26%,60.26%,Rise by 60.26%,147.83%,
Buy,1995-12-31,6.14,1997-07-31,10.18,413 days,1994-12-31/5.6125,65.89%,65.89%,Rise by 7.74%,213.72%,
Buy,1999-03-31,9.13,1999-09-30,15.01,131 days,1998-06-30/8.6062,64.34%,64.34%,Rise by 243.32%,278.06%,
Buy,1999-10-31,15.98,1999-12-31,28.48,44 days,1999-09-30/15.0063,78.25%,78.25%,Rise by -12.99%,356.31%,
Buy,2000-02-29,31.35,2000-04-30,22.56,43 days,1999-12-31/28.475,-28.03%,-28.03%,Rise by -40.07%,328.28%,
Buy,2004-01-31,8.13,2005-07-31,6.5,389 days,2003-01-31/7.99,-20.02%,-20.02%,Rise by -14.76%,308.25%,
Buy,2005-12-31,8.16,2008-09-30,6.17,716 days,2005-03-31/8.004,-24.34%,-24.34%,Rise by 41.42%,283.91%,
Buy,2009-10-31,5.88,2011-08-31,4.39,477 days,2009-09-30/5.84,-25.31%,-25.31%,Rise by 30.38%,258.60%,
Buy,2013-05-31,4.03,2014-01-31,3.15,175 days,2013-03-31/3.48,-21.84%,-21.84%,Rise by -14.39%,236.76%,
Buy,2014-10-31,3.96,2016-07-31,6.68,455 days,2014-03-31/3.824,68.57%,68.57%,Rise by 56.0%,305.33%,
Buy,2017-03-31,6.75,2018-07-31,10.8,347 days,2016-07-31/6.682,60.15%,60.15%,Rise by 49.6%,365.48%,
Buy,2018-08-31,11.37,2019-03-31,8.45,150 days,2018-07-31/10.804,-25.67%,-25.67%,Rise by -11.81%,339.81%,
Buy,2019-10-31,12.17,2020-12-31,20.22,305 days,2019-09-30/11.826,66.20%,66.20%,Rise by 74.27%,406.01%,
Buy,2021-02-28,21.16,2022-06-30,16.35,348 days,2020-12-31/20.22,-22.72%,-22.72%,Rise by 19.46%,383.29%,
Buy,2023-12-31,18.94,2023-12-31,18.94,0 days,2023-05-31/18.74,0.00%,0.00%,Rise by 0%,383.29%,
