Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-04-07,78.27,2021-09-10,62.37,Buy,112 Days,-3.46,Rise by 3.49%,-20.31%,-20.31%
2021-08-19,53.74,2021-10-27,62.83,Buy,49 Days,-3.15,Rise by 20.13%,16.91%,-3.4%
2021-12-01,59.23,2022-12-16,40.31,Buy,272 Days,-8.14,Rise by 1.87%,-31.94%,-35.34%
2022-01-03,58.24,2022-02-14,60.14,Buy,30 Days,-3.04,Rise by 7.42%,3.26%,-32.08%
2022-03-01,54.57,2023-01-17,47.77,Buy,230 Days,-8.55,Rise by -10.76%,-12.46%,-44.54%
2022-03-11,44.76,2022-06-13,46.72,Buy,66 Days,-4.76,Rise by 12.51%,4.38%,-40.16%
2022-03-24,46.21,2022-06-13,46.72,Buy,57 Days,-3.38,Rise by 8.98%,1.1%,-39.06%
2022-04-05,48.62,2022-06-13,46.72,Buy,49 Days,-4.23,Rise by -1.23%,-3.91%,-42.97%
2022-08-03,39.22,2022-11-21,36.0,Buy,78 Days,-8.31,Rise by 2.01%,-8.21%,-51.18%
2022-09-01,41.18,2022-11-21,36.0,Buy,57 Days,-3.97,Rise by -10.13%,-12.58%,-63.76%
2022-10-03,33.8,2022-12-16,40.31,Buy,54 Days,-6.58,Rise by -10.77%,19.26%,-44.5%
2022-10-17,31.93,2022-11-21,36.0,Buy,25 Days,-3.53,Rise by -19.57%,12.75%,-31.75%
2023-03-09,42.24,2023-06-22,43.34,Buy,75 Days,-3.64,Rise by 13.35%,2.6%,-29.14%
2023-05-12,41.27,2023-06-22,43.34,Buy,29 Days,-3.03,Rise by 4.6%,5.02%,-24.13%
2023-06-01,41.29,2023-11-20,42.19,Buy,122 Days,-7.96,Rise by 10.95%,2.18%,-21.95%
2023-10-02,38.45,2023-11-20,42.19,Buy,35 Days,-3.45,Rise by 4.45%,9.73%,-12.22%
2024-01-05,37.36,2024-02-09,37.06,Buy,25 Days,-3.0,Rise by -0.96%,-0.8%,-13.03%
2024-02-01,34.88,2024-05-17,51.08,Buy,76 Days,-10.21,Rise by 5.93%,46.44%,33.42%
2024-07-01,47.46,2024-10-10,56.15,Buy,73 Days,-7.13,Rise by 6.3%,18.31%,51.73%
2024-11-13,50.13,2025-02-26,63.94,Buy,75 Days,-3.15,Rise by 4.55%,27.55%,79.28%
2025-04-04,59.91,2025-05-19,65.99,Buy,31 Days,-3.63,Rise by -1.44%,10.15%,89.43%
