Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-05-05,1.41,2021-07-23,1.26,Buy,317 days,Rise by -2.880000%,-10.79,
2020-08-11,1.34,2021-07-23,1.26,Buy,247 days,Rise by -0.860000%,-5.92,
2021-01-29,1.28,2021-07-23,1.26,Buy,124 days,Rise by -1.640000%,-2.08,
2021-02-09,1.27,2021-02-23,1.26,Sell,9 days,Fall by 1.790000%,1.01,
