Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2019-12-19 - 2019-12-20,1 days,2019-12-31,212.61,2020-01-09,218.99,7 days,-3.0%,Fall by 16.6%,-3.0%
Sell,2020-01-21 - 2020-01-22,1 days,2020-02-21,230.27,2020-02-26,216.48,3 days,6.0%,Fall by 11.36%,3.0%
Buy,2020-02-27 - 2020-03-12,10 days,2020-03-17,182.14,2020-04-08,200.57,16 days,10.1%,Rise by 46.47%,13.1%
Buy,2020-03-16 - 2020-03-18,2 days,2020-03-24,183.66,2020-04-06,196.48,9 days,7.0%,Rise by 45.26%,20.1%
Sell,2020-06-02 - 2020-06-10,6 days,2020-06-15,238.75,2020-06-22,246.74,5 days,-3.3%,Fall by -7.04%,16.7%
Sell,2020-07-10 - 2020-07-13,1 days,2020-07-23,258.01,2020-07-28,256.81,3 days,0.5%,Fall by -2.38%,17.2%
Buy,2020-09-10 - 2020-09-11,1 days,2020-09-22,272.48,2020-10-12,294.53,14 days,8.1%,Rise by 8.09%,25.3%
Buy,2020-10-30 - 2020-11-02,1 days,2020-11-20,290.38,2020-12-04,305.52,10 days,5.2%,Rise by 15.87%,30.5%
Sell,2020-12-08 - 2020-12-18,8 days,2020-12-24,309.56,2021-01-08,319.03,11 days,-3.1%,Fall by 3.11%,27.5%
Sell,2021-02-08 - 2021-02-10,2 days,2021-02-18,332.47,2021-02-19,331.02,1 days,0.4%,Fall by 9.78%,27.9%
Sell,2021-04-12 - 2021-04-13,1 days,2021-04-20,336.41,2021-04-22,335.2,2 days,0.4%,Fall by 5.8%,28.2%
Sell,2021-05-28 - 2021-06-01,2 days,2021-06-16,341.01,2021-06-24,349.89,6 days,-2.6%,Fall by -6.22%,25.6%
Sell,2021-06-30 - 2021-07-07,5 days,2021-07-16,357.6,2021-07-23,368.2,5 days,-3.0%,Fall by -1.29%,22.7%
Sell,2021-08-31 - 2021-09-01,1 days,2021-09-13,376.33,2021-09-14,375.26,1 days,0.3%,Fall by 6.3%,23.0%
Buy,2021-09-30 - 2021-10-04,2 days,2021-10-25,377.93,2021-11-04,398.22,8 days,5.4%,Rise by 6.9%,28.3%
Sell,2021-11-01 - 2021-11-05,4 days,2021-11-10,389.51,2021-11-18,401.75,6 days,-3.1%,Fall by 1.64%,25.2%
Sell,2021-11-05 - 2021-11-22,11 days,2021-11-26,391.2,2021-12-06,386.2,6 days,1.3%,Fall by 2.69%,26.5%
Sell,2021-12-15 - 2021-12-16,1 days,2022-01-06,384.02,2022-01-25,345.11,13 days,10.1%,Fall by 10.13%,36.6%
Buy,2022-01-21 - 2022-01-24,1 days,2022-01-31,363.05,2022-03-07,324.86,25 days,-10.5%,Rise by -10.52%,26.1%
Buy,2022-02-23 - 2022-02-24,1 days,2022-03-15,328.15,2022-03-18,351.49,3 days,7.1%,Rise by -11.07%,33.2%
Sell,2022-03-28 - 2022-03-29,1 days,2022-04-01,361.85,2022-04-13,346.35,8 days,4.3%,Fall by 10.07%,37.5%
Buy,2022-04-12 - 2022-04-26,10 days,2022-04-28,328.01,2022-05-11,291.84,9 days,-11.0%,Rise by -11.24%,26.5%
Buy,2022-05-11 - 2022-05-12,1 days,2022-05-23,293.48,2022-05-27,309.1,4 days,5.3%,Rise by 13.49%,31.8%
Sell,2022-06-01 - 2022-06-02,1 days,2022-06-10,288.84,2022-06-15,282.8,3 days,2.1%,Fall by 9.73%,33.9%
Sell,2022-07-29 - 2022-08-01,1 days,2022-08-18,329.28,2022-08-25,320.58,5 days,2.6%,Fall by 11.0%,36.5%
Buy,2022-08-30 - 2022-09-02,3 days,2022-09-07,298.97,2022-09-30,267.26,17 days,-10.6%,Rise by -10.61%,25.9%
Buy,2022-09-23 - 2022-09-30,5 days,2022-10-04,282.13,2023-01-27,296.26,83 days,5.0%,Rise by 0.74%,30.9%
Sell,2022-11-14 - 2022-11-15,1 days,2022-11-28,282.71,2022-11-30,293.36,2 days,-3.8%,Fall by 8.0%,27.1%
Buy,2022-12-19 - 2022-12-28,7 days,2022-12-30,266.28,2023-01-23,288.96,16 days,8.5%,Rise by 17.06%,35.7%
