Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-02,4.8400,2021-12-07,4.9900,3 days,3.10%,3.0992%,Rise by 4.55%,3.0992%
Buy,2022-05-13,5.1600,2022-05-17,5.3300,2 days,3.29%,3.2946%,Rise by 7.36%,6.3937%
Buy,2022-06-16,5.1200,2022-06-21,5.2100,3 days,1.76%,1.7578%,Rise by 6.45%,8.1516%
Buy,2023-08-23,6.8800,2023-09-22,6.6100,22 days,-3.92%,-3.9244%,Rise by -10.03%,4.2271%
Buy,2023-09-28,6.4600,2023-10-19,6.0500,15 days,-6.35%,-6.3467%,Rise by -2.01%,-2.1196%
Buy,2023-10-24,6.0900,2023-11-06,6.3300,9 days,3.94%,3.9409%,Rise by 6.24%,1.8213%
Buy,2024-02-27,6.5100,2024-04-16,6.2200,35 days,-4.45%,-4.4547%,Rise by -0.46%,-2.6334%
Buy,2024-08-07,5.9000,2024-08-22,6.1600,11 days,4.41%,4.4068%,Rise by 15.25%,1.7734%
Buy,2025-04-10,6.2500,2025-04-22,6.4900,8 days,3.84%,3.8400%,Rise by 14.88%,5.6134%
Buy,2025-06-18,6.8500,2025-06-30,6.9700,8 days,1.75%,1.7518%,Rise by 10.95%,7.3652%
Buy,2025-08-04,6.8200,2025-09-08,6.5800,25 days,-3.52%,-3.5191%,Rise by -2.79%,3.8461%
