Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-01-28,105.5800,2022-02-10,103.5700,9 days,-1.90%,-1.9038%,Rise by -1.21%,-1.9038%,
Buy,2022-02-15,103.1100,2022-02-25,104.2300,8 days,1.09%,1.0862%,Rise by 0.0%,-0.8176%,
Buy,2022-03-15,100.2300,2022-03-16,101.6700,1 days,1.44%,1.4367%,Rise by 2.87%,0.6191%,
Buy,2022-05-03,97.6700,2022-05-18,94.1300,11 days,-3.62%,-3.6244%,Rise by 1.65%,-3.0053%,
Buy,2022-05-19,94.7900,2022-05-25,96.8900,4 days,2.22%,2.2154%,Rise by 2.93%,-0.7899%,
Buy,2022-06-15,92.6600,2022-07-21,94.9300,26 days,2.45%,2.4498%,Rise by 5.3%,1.6599%,
Buy,2022-09-02,91.5900,2022-09-08,92.9500,4 days,1.48%,1.4849%,Rise by -0.16%,3.1448%,
Buy,2022-09-28,88.9600,2022-10-27,90.7500,21 days,2.01%,2.0121%,Rise by 2.79%,5.1570%,
Buy,2023-02-17,91.3800,2023-03-31,92.8200,30 days,1.58%,1.5758%,Rise by 0.32%,6.7328%,
Buy,2023-10-05,88.8800,2023-10-09,89.7000,2 days,0.92%,0.9226%,Rise by 7.34%,7.6554%,
Buy,2024-04-17,92.6900,2024-04-22,93.4800,3 days,0.85%,0.8523%,Rise by 2.16%,8.5077%,
Buy,2024-12-23,95.1900,2025-01-02,95.7500,8 days,0.59%,0.5883%,Rise by 1.88%,9.0960%,
