Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2022-02-08,14747.0303,2022-04-01,14861.21,Buy,38 Days,-3.07,Rise by -3.41%,0.77%,0.77%
2022-05-02,13075.8496,2022-08-19,13242.9004,Buy,79 Days,-4.72,Rise by -3.91%,1.28%,2.05%
2022-05-19,11875.6299,2022-08-19,13242.9004,Buy,66 Days,-3.33,Rise by 6.79%,11.51%,13.57%
2022-10-03,11229.7305,2022-12-16,11243.7197,Buy,54 Days,-6.94,Rise by -0.73%,0.12%,13.69%
2022-11-01,11288.9502,2022-12-16,11243.7197,Buy,33 Days,-3.28,Rise by 5.16%,-0.4%,13.29%
2024-08-02,18440.8496,2024-10-01,19773.3008,Buy,42 Days,-3.36,Rise by 7.51%,7.23%,20.51%
2025-04-01,19436.4199,2025-07-14,22855.6309,Buy,74 Days,-8.39,Rise by -12.07%,17.59%,38.11%
