Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-02-15,49.7900,2022-02-24,45.9600,7 days,-7.69%,-7.6923%,Rise by 9.48%,-7.6923%
Buy,2022-02-25,47.7200,2022-03-10,49.2000,9 days,3.10%,3.1014%,Rise by 14.23%,-4.5909%
Buy,2022-04-25,48.9500,2022-04-28,50.5100,3 days,3.19%,3.1869%,Rise by 10.3%,-1.4040%
Buy,2022-06-15,48.5100,2022-06-23,50.0900,6 days,3.26%,3.2571%,Rise by 10.12%,1.8531%
Buy,2022-09-01,46.6300,2022-10-06,43.0900,25 days,-7.59%,-7.5917%,Rise by -10.47%,-5.7386%
Buy,2022-10-12,42.0300,2022-10-13,42.9800,1 days,2.26%,2.2603%,Rise by 14.23%,-3.4783%
Buy,2023-01-12,47.7100,2023-01-27,43.7900,11 days,-8.22%,-8.2163%,Rise by -10.5%,-11.6946%
Buy,2023-02-08,43.9800,2023-02-24,41.7500,12 days,-5.07%,-5.0705%,Rise by -10.28%,-16.7651%
Buy,2023-03-02,40.6200,2023-04-03,41.3500,22 days,1.80%,1.7971%,Rise by 2.88%,-14.9679%
Buy,2024-11-13,26.7200,2024-11-15,24.8000,2 days,-7.19%,-7.1856%,Rise by -1.91%,-22.1536%
Buy,2024-11-19,25.1000,2024-11-25,26.1700,4 days,4.26%,4.2629%,Rise by 8.09%,-17.8906%
Buy,2025-04-09,22.4900,2025-04-29,23.7900,14 days,5.78%,5.7803%,Rise by 8.54%,-12.1103%
