Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-02-06,7.3600,2022-10-16,4.1200,179 days,-44.02%,-44.0217%,Rise by -18.34%,-44.0217%
Buy,2025-01-05,10.9700,2025-01-26,12.3400,14 days,12.49%,12.4886%,Rise by -12.49%,-31.5331%
