Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-05-04,5.7700,2022-05-09,4.3800,3 days,-24.09%,-24.0901%,Rise by -33.8%,-24.0901%
Buy,2022-05-12,4.0000,2022-05-13,4.8200,1 days,20.50%,20.5000%,Rise by -11.75%,-3.5901%
Buy,2022-05-25,3.5900,2022-06-02,4.4400,6 days,23.68%,23.6769%,Rise by 16.16%,20.0868%
Buy,2023-08-21,7.3500,2023-10-11,7.8400,37 days,6.67%,6.6667%,Rise by 2.72%,26.7534%
Buy,2024-04-18,10.6600,2024-04-23,10.9200,3 days,2.44%,2.4390%,Rise by 13.41%,29.1924%
Buy,2024-08-06,11.0600,2024-08-08,11.8900,2 days,7.50%,7.5045%,Rise by 35.35%,36.6970%
Buy,2024-10-03,13.1000,2024-10-11,13.7100,6 days,4.66%,4.6565%,Rise by 20.08%,41.3535%
Buy,2024-11-21,13.4000,2024-11-25,14.2300,2 days,6.19%,6.1940%,Rise by -10.22%,47.5475%
Buy,2024-12-04,12.0000,2025-01-28,12.6400,39 days,5.33%,5.3333%,Rise by -13.33%,52.8808%
Buy,2025-02-26,11.4800,2025-04-29,12.4100,44 days,8.10%,8.1010%,Rise by 4.09%,60.9819%
Buy,2025-08-05,12.1500,2025-08-15,13.1000,8 days,7.82%,7.8189%,Rise by 34.16%,68.8008%
