Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2003-03-31,3.27,2004-09-30,5.71,393 days,2002-12-31/3.2062,74.57%,74.57%,Rise by 102.05%,74.57%,
Buy,2004-12-31,6.34,2006-12-31,10.58,520 days,2004-09-30/5.7137,66.92%,66.92%,Rise by 66.16%,141.48%,
Buy,2007-06-30,11.82,2008-03-31,8.03,195 days,2006-12-31/10.5755,-32.07%,-32.07%,Rise by -32.07%,109.42%,
Buy,2011-03-31,8.94,2011-12-31,5.71,196 days,2009-09-30/7.9915,-36.08%,-36.08%,Rise by -36.08%,73.34%,
Buy,2017-03-31,7.96,2018-03-31,5.77,260 days,2015-03-31/5.7137,-27.52%,-27.52%,Rise by -27.52%,45.82%,
Buy,2020-12-31,5.9,2022-12-31,4.72,521 days,2019-09-30/5.15,-20.00%,-20.00%,Rise by -14.58%,25.82%,
