Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2001-10-31,1.35,2002-10-31,1.08,261 days,2000-10-31/1.34,-20.00%,-20.00%,Rise by -18.52%,-20.00%,
Buy,2003-10-31,1.39,2004-12-31,2.25,305 days,2003-05-31/1.38,61.87%,61.87%,Rise by 36.69%,41.87%,
Buy,2005-01-31,2.46,2006-02-28,4.25,281 days,2004-12-31/2.25,72.76%,72.76%,Rise by 229.27%,114.63%,
Buy,2006-03-31,4.69,2006-11-30,8.1,174 days,2006-02-28/4.25,72.71%,72.71%,Rise by 72.71%,187.34%,
Buy,2009-10-31,5.33,2011-03-31,8.94,368 days,2009-09-30/5.32,67.73%,67.73%,Rise by 22.33%,255.07%,
Buy,2011-04-30,9.28,2014-07-31,14.9,848 days,2011-03-31/8.94,60.56%,60.56%,Rise by 29.31%,315.63%,
Buy,2014-08-31,15.13,2017-07-31,24.3,760 days,2014-07-31/14.9,60.61%,60.61%,Rise by 7.07%,376.24%,
Buy,2017-08-31,24.72,2019-06-30,40.7,476 days,2017-07-31/24.3,64.64%,64.64%,Rise by 4.21%,440.88%,
Buy,2019-07-31,42.06,2020-12-31,69.5,371 days,2019-06-30/40.7,65.24%,65.24%,Rise by 1.05%,506.13%,
Buy,2021-04-30,72.4,2023-10-31,57.24,652 days,2020-12-31/69.5,-20.94%,-20.94%,Rise by 33.84%,485.19%,
Buy,2024-07-31,74.51,2025-04-30,55.51,195 days,2024-01-31/71.7,-25.50%,-25.50%,Rise by -17.22%,459.69%,
