Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-12-01,76.4000,2021-12-06,77.7700,3 days,1.79%,1.7932%,Rise by 4.27%,1.7932%,
Buy,2022-01-27,74.4800,2022-01-31,75.8200,2 days,1.80%,1.7991%,Rise by -10.26%,3.5923%,
Buy,2022-03-02,72.5200,2022-03-07,66.8400,3 days,-7.83%,-7.8323%,Rise by 3.63%,-4.2400%,
Buy,2022-03-09,70.2400,2022-03-17,73.0600,6 days,4.01%,4.0148%,Rise by 6.99%,-0.2252%,
Buy,2022-05-12,65.1800,2022-05-13,66.9900,1 days,2.78%,2.7769%,Rise by 8.48%,2.5517%,
Buy,2022-06-15,63.1200,2022-07-27,64.4900,30 days,2.17%,2.1705%,Rise by 5.77%,4.7222%,
Buy,2022-09-28,56.8800,2022-10-04,59.4100,4 days,4.45%,4.4480%,Rise by 19.15%,9.1702%,
Buy,2023-08-21,70.1000,2023-08-29,71.8500,6 days,2.50%,2.4964%,Rise by -0.64%,11.6666%,
Buy,2024-04-18,76.0900,2024-04-22,77.0100,2 days,1.21%,1.2091%,Rise by 7.5%,12.8757%,
Buy,2024-06-17,78.1400,2024-07-03,79.5600,12 days,1.82%,1.8173%,Rise by 4.4%,14.6930%,
Buy,2024-08-07,75.8100,2024-08-09,77.3800,2 days,2.07%,2.0710%,Rise by 9.46%,16.7639%,
Buy,2024-11-18,77.5500,2024-11-29,78.9700,9 days,1.83%,1.8311%,Rise by 3.28%,18.5950%,
Buy,2024-12-23,75.5900,2025-01-17,76.7800,19 days,1.57%,1.5743%,Rise by 9.17%,20.1693%,
