Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2000-02-29,0.13,2000-05-31,0.24,66 days,1999-12-31/0.0978,78.39%,78.39%,Rise by 155.89%,78.39%,
Buy,2000-06-30,0.26,2000-11-30,0.17,109 days,2000-05-31/0.2378,-36.25%,-36.25%,Rise by -36.25%,42.14%,
Buy,2001-04-30,0.35,2001-09-30,0.23,109 days,2000-09-30/0.3411,-34.05%,-34.05%,Rise by -34.05%,8.09%,
Buy,2001-11-30,0.46,2002-04-30,0.29,107 days,2001-06-30/0.3865,-36.28%,-36.28%,Rise by -36.28%,-28.20%,
Buy,2004-03-31,0.22,2004-04-30,0.17,22 days,2003-05-31/0.2181,-22.27%,-22.27%,Rise by -52.82%,-50.47%,
Buy,2005-02-28,0.24,2005-04-30,0.18,44 days,2004-03-31/0.22,-24.34%,-24.34%,Rise by 101.57%,-74.81%,
Buy,2005-08-31,0.26,2006-03-31,0.48,152 days,2005-02-28/0.2416,86.62%,86.62%,Rise by 90.46%,11.82%,
Buy,2006-04-30,0.49,2006-05-31,0.38,22 days,2006-03-31/0.4772,-21.36%,-21.36%,Rise by 26.65%,-9.54%,
Buy,2006-09-30,0.49,2007-08-31,0.85,239 days,2006-04-30/0.487,72.89%,72.89%,Rise by 83.7%,63.35%,
Buy,2007-09-30,0.91,2008-01-31,0.61,88 days,2007-08-31/0.8527,-32.14%,-32.14%,Rise by -40.98%,31.21%,
Buy,2009-07-31,0.32,2010-06-30,0.26,238 days,2008-08-31/0.316,-21.01%,-21.01%,Rise by 44.49%,10.20%,
Buy,2011-01-31,0.6,2011-03-31,0.46,43 days,2010-03-31/0.435,-22.83%,-22.83%,Rise by -33.36%,-12.62%,
Buy,2013-05-31,0.36,2015-09-30,0.62,608 days,2012-08-31/0.3507,70.32%,70.32%,Rise by 31.29%,57.69%,
Buy,2015-10-31,0.71,2016-05-31,1.17,151 days,2015-09-30/0.6162,64.69%,64.69%,Rise by 284.87%,122.39%,
Buy,2016-06-30,1.18,2016-11-30,2.31,109 days,2016-05-31/1.168,96.12%,96.12%,Rise by 132.24%,218.51%,
Buy,2016-12-31,2.67,2017-09-30,4.47,194 days,2016-11-30/2.305,67.48%,67.48%,Rise by 93.75%,285.99%,
Buy,2017-10-31,5.17,2018-11-30,4.09,283 days,2017-09-30/4.4693,-20.97%,-20.97%,Rise by 21.94%,265.02%,
Buy,2019-11-30,5.42,2020-05-31,8.88,129 days,2019-10-31/5.0255,63.80%,63.80%,Rise by 149.71%,328.82%,
Buy,2020-06-30,9.5,2021-05-31,16.24,239 days,2020-05-31/8.8755,71.03%,71.03%,Rise by 244.04%,399.85%,
Buy,2021-06-30,20.0,2021-11-30,32.68,109 days,2021-05-31/16.2445,63.36%,63.36%,Rise by 63.36%,463.21%,
Buy,2023-03-31,27.78,2023-07-31,46.73,86 days,2022-03-31/27.286,68.23%,68.23%,Rise by 77.68%,531.44%,
Buy,2023-08-31,49.36,2024-02-29,79.11,130 days,2023-07-31/46.729,60.29%,60.29%,Rise by 150.31%,591.73%,
Buy,2024-03-31,90.36,2025-06-30,157.99,325 days,2024-02-29/79.112,74.85%,74.85%,Rise by 53.01%,666.58%,
Buy,2025-07-31,177.87,2025-07-31,177.87,0 days,2025-06-30/157.99,0.00%,0.00%,Rise by 0%,666.58%,
