Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-11-22,76.07,2016-04-03,75.1,2015-11-15,Buy,19 Weeks,-1.28%,Rise by -11.86%,-1.28%,Absolute Extrema Case
2015-12-06,76.59,2016-04-03,75.1,2015-11-29,Buy,17 Weeks,-1.95%,Rise by -11.24%,-3.22%,Normal Case
2015-12-27,75.64,2016-04-03,75.1,2015-12-13,Buy,14 Weeks,-0.71%,Rise by -10.13%,-3.93%,Normal Case
2016-02-07,71.14,2016-05-08,76.09,2016-01-31,Buy,13 Weeks,6.96%,Rise by 13.23%,3.02%,Normal Case
2016-05-08,76.09,2016-08-07,79.46,2016-04-17,Buy,13 Weeks,4.43%,Rise by 7.16%,7.45%,Normal Case
2016-05-22,77.85,2016-08-07,79.46,2016-05-15,Buy,11 Weeks,2.07%,Rise by 4.74%,9.52%,Normal Case
2016-06-26,77.21,2016-09-11,80.72,2016-06-19,Buy,11 Weeks,4.55%,Rise by 5.61%,14.07%,Normal Case
2016-08-21,80.96,2016-11-06,82.06,2016-08-14,Buy,11 Weeks,1.36%,Rise by 22.39%,15.43%,Normal Case
2016-08-28,81.54,2016-11-06,82.06,2016-08-21,Buy,10 Weeks,0.64%,Rise by 21.52%,16.06%,Normal Case
2016-09-04,81.5,2016-11-06,82.06,2016-08-28,Buy,9 Weeks,0.69%,Rise by 21.58%,16.75%,Normal Case
2016-10-16,82.61,2017-01-29,94.47,2016-08-07,Buy,15 Weeks,14.36%,Rise by 19.95%,31.11%,Local Extrema Case
2016-10-16,82.61,2017-01-29,94.47,2016-10-09,Buy,15 Weeks,14.36%,Rise by 19.95%,45.46%,Normal Case
2016-10-30,83.72,2017-01-29,94.47,2016-10-23,Buy,13 Weeks,12.84%,Rise by 18.36%,58.3%,Normal Case
2016-11-06,82.06,2017-01-29,94.47,2016-10-16,Buy,12 Weeks,15.12%,Rise by 20.75%,73.43%,Normal Case
2017-01-01,90.87,2017-03-12,97.66,2016-12-18,Buy,10 Weeks,7.47%,Rise by 9.05%,80.9%,Normal Case
2017-01-15,94.5,2017-07-02,94.16,2016-12-25,Buy,24 Weeks,-0.36%,Rise by 0.83%,80.54%,Normal Case
2017-03-12,97.66,2017-07-02,94.16,2017-03-05,Buy,16 Weeks,-3.58%,Rise by -2.44%,76.96%,Normal Case
2017-04-02,96.89,2017-07-02,94.16,2017-03-26,Buy,13 Weeks,-2.82%,Rise by -1.66%,74.14%,Normal Case
2017-07-02,94.16,2017-11-12,99.84,2017-06-25,Buy,19 Weeks,6.03%,Rise by 7.71%,80.17%,Normal Case
2017-08-27,93.25,2017-11-12,99.84,2017-08-20,Buy,11 Weeks,7.07%,Rise by 8.76%,87.24%,Normal Case
2017-10-01,96.54,2018-02-11,99.08,2017-09-24,Buy,19 Weeks,2.63%,Rise by 11.58%,89.87%,Normal Case
2017-10-29,101.17,2018-02-11,99.08,2017-10-22,Buy,15 Weeks,-2.07%,Rise by 6.47%,87.8%,Normal Case
2018-03-04,99.91,2018-06-10,99.89,2018-02-25,Buy,14 Weeks,-0.02%,Rise by 0.66%,87.78%,Normal Case
2018-04-29,98.15,2018-08-12,101.3,2018-04-22,Buy,15 Weeks,3.21%,Rise by 6.05%,90.99%,Normal Case
2018-05-06,97.83,2018-08-12,101.3,2018-04-29,Buy,14 Weeks,3.55%,Rise by 6.4%,94.54%,Normal Case
2018-06-24,101.37,2018-09-16,103.07,2018-06-17,Buy,12 Weeks,1.68%,Rise by 2.68%,96.22%,Normal Case
2018-07-01,98.99,2018-09-16,103.07,2018-06-10,Buy,11 Weeks,4.12%,Rise by 5.15%,100.34%,Normal Case
2018-08-19,102.8,2019-03-24,102.13,2018-08-12,Buy,31 Weeks,-0.65%,Rise by -11.53%,99.69%,Normal Case
