Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days)
TRENDPULSE,ASHR,Long,Weekly,2025-04-20,25.53,2025-05-18,26.98,5.679592636114373,19,75.76,33,95
TRENDPULSE,ASHR,Long,Weekly,2024-09-29,27.33,2025-07-27,29.03,6.220270764727417,214,75.76,33,95
