Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2017-12-03,2.38,2021-02-28,3.5,844 days,46.850000%,46.850000%,Rise by 5.040000%,46.850000%
Buy,2021-11-07,3.23,2021-11-07,3.23,0 days,0.00%,0.00%,Rise by 0%,46.850000%
