Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Buy,2020-03-17 - 2020-03-19,2 days,2020-03-24,0.5744,2020-03-30,0.6058,4 days,5.5%,Rise by 6.25%,5.5%
Sell,2020-05-01 - 2020-05-20,13 days,2020-05-25,0.6105,2020-05-27,0.6198,2 days,-1.5%,Fall by -4.86%,3.9%
Sell,2020-05-25 - 2020-05-27,2 days,2020-06-11,0.6511,2020-06-16,0.6499,3 days,0.2%,Fall by -0.29%,4.1%
Sell,2020-07-13 - 2020-07-23,8 days,2020-07-30,0.6657,2020-08-04,0.6615,3 days,0.6%,Fall by 1.91%,4.8%
Sell,2020-11-30 - 2020-12-03,3 days,2020-12-08,0.7041,2020-12-18,0.7148,8 days,-1.5%,Fall by -1.07%,3.2%
Sell,2021-04-29 - 2021-05-10,7 days,2021-05-13,0.7164,2021-05-27,0.7278,10 days,-1.6%,Fall by 3.0%,1.6%
Buy,2021-06-16 - 2021-06-18,2 days,2021-07-01,0.6997,2022-05-11,0.629,224 days,-10.1%,Rise by 0.74%,-8.5%
Buy,2021-09-23 - 2021-09-30,5 days,2021-10-07,0.6916,2022-07-04,0.6209,192 days,-10.2%,Rise by -0.78%,-18.7%
Buy,2021-12-08 - 2021-12-15,5 days,2021-12-21,0.6713,2022-09-07,0.6033,186 days,-10.1%,Rise by 2.22%,-28.8%
Buy,2022-01-13 - 2022-02-10,20 days,2022-02-15,0.6618,2022-09-21,0.5902,156 days,-10.8%,Rise by 5.41%,-39.6%
Sell,2022-03-25 - 2022-03-30,3 days,2022-04-07,0.6912,2022-04-14,0.6801,5 days,1.6%,Fall by 9.62%,-38.0%
Buy,2022-04-20 - 2022-04-27,5 days,2022-04-29,0.6493,2022-09-22,0.5829,104 days,-10.2%,Rise by 1.03%,-48.2%
Buy,2022-05-04 - 2022-05-11,5 days,2022-05-16,0.6289,2022-09-28,0.5631,97 days,-10.5%,Rise by 4.31%,-58.7%
Buy,2022-05-13 - 2022-06-14,22 days,2022-06-23,0.6271,2022-09-28,0.5631,69 days,-10.2%,Rise by 2.84%,-68.9%
Buy,2022-08-31 - 2022-09-02,2 days,2022-09-08,0.6063,2022-12-02,0.637,61 days,5.1%,Rise by 6.45%,-63.9%
Sell,2022-11-28 - 2022-12-05,5 days,2022-12-21,0.6344,2022-12-26,0.6293,3 days,0.8%,Fall by 1.78%,-63.0%
Sell,2023-01-17 - 2023-01-18,1 days,2023-01-31,0.6469,2023-02-01,0.6438,1 days,0.5%,Fall by 5.69%,-62.6%
Sell,2023-01-25 - 2023-02-02,6 days,2023-02-16,0.628,2023-02-20,0.6236,2 days,0.7%,Fall by 2.85%,-61.9%
Buy,2023-02-09 - 2023-02-13,2 days,2023-02-20,0.6236,2025-01-02,0.5598,488 days,-10.2%,Rise by 0.59%,-72.1%
Buy,2023-02-22 - 2023-02-27,3 days,2023-03-09,0.6115,2023-03-09,0.6115,0 days,0.0%,Rise by 3.34%,-72.1%
Buy,2023-05-30 - 2023-05-31,1 days,2023-06-09,0.6094,2023-06-09,0.6094,0 days,0.0%,Rise by 4.89%,-72.1%
Buy,2023-08-07 - 2023-08-11,4 days,2023-08-15,0.5975,2023-12-22,0.6295,93 days,5.4%,Rise by 0.03%,-66.7%
Buy,2023-08-18 - 2023-08-25,5 days,2023-08-30,0.5967,2023-12-20,0.627,80 days,5.1%,Rise by 1.26%,-61.7%
Buy,2023-10-23 - 2023-10-26,3 days,2023-11-02,0.588,2023-12-04,0.6215,22 days,5.7%,Rise by 5.7%,-56.0%
Sell,2023-12-04 - 2023-12-14,8 days,2024-01-01,0.632,2024-01-04,0.6251,3 days,1.1%,Fall by 4.22%,-54.9%
Buy,2024-03-27 - 2024-04-01,3 days,2024-04-03,0.5969,2024-09-25,0.6352,125 days,6.4%,Rise by 3.82%,-48.5%
Sell,2024-05-20 - 2024-05-22,2 days,2024-05-30,0.6114,2024-07-01,0.6099,22 days,0.2%,Fall by 0.8%,-48.2%
Sell,2024-08-28 - 2024-08-29,1 days,2024-09-03,0.623,2024-09-05,0.6187,2 days,0.7%,Fall by 6.73%,-47.5%
Buy,2024-10-24 - 2024-10-28,2 days,2024-11-01,0.5972,2024-11-01,0.5972,0 days,0.0%,Rise by -4.69%,-47.5%
Buy,2024-11-18 - 2024-11-26,6 days,2024-11-28,0.5893,2024-11-28,0.5893,0 days,0.0%,Rise by -3.41%,-47.5%
Buy,2025-01-06 - 2025-01-13,5 days,2025-01-15,0.5603,2025-04-16,0.5895,65 days,5.2%,Rise by 2.87%,-42.3%
Sell,2025-02-19 - 2025-02-21,2 days,2025-02-26,0.5731,2025-03-04,0.5613,4 days,2.1%,Fall by 3.72%,-40.3%
Sell,2025-06-13 - 2025-06-16,1 days,2025-06-19,0.603,2025-06-20,0.6001,1 days,0.5%,Fall by 2.34%,-39.8%
Sell,2025-09-16 - 2025-09-17,1 days,2025-09-22,0.5851,2025-09-29,0.5778,5 days,1.2%,Fall by 2.32%,-38.5%
Buy,2025-09-30 - 2025-10-14,10 days,2025-10-16,0.5716,2025-10-16,0.5716,0 days,0.0%,Rise by 0.17%,-38.5%
