Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2003-10-31,8.53,2007-07-31,13.67,977 days,2003-08-31/7.8912,60.33%,60.33%,Rise by -10.74%,60.33%
Buy,2007-10-31,13.81,2008-01-31,10.85,66 days,2007-07-31/13.6686,-21.43%,-21.43%,Rise by -20.41%,38.90%
Buy,2009-12-31,10.48,2011-08-31,7.78,434 days,2009-09-30/9.709,-25.81%,-25.81%,Rise by 9.68%,13.09%
Buy,2013-04-30,7.82,2019-08-31,6.22,1653 days,2013-01-31/7.7432,-20.45%,-20.45%,Rise by -5.77%,-7.36%
Buy,2021-03-31,5.55,2021-03-31,5.55,0 days,2021-02-28/4.98,0.00%,0.00%,Rise by 0%,-7.36%
