Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-10-01,22.33,2021-12-21,24.22,Buy,57 Days,-3.03,Rise by 8.46%,8.46%,8.46%,
2021-12-01,22.44,2022-03-21,24.21,Buy,78 Days,-4.29,Rise by 4.46%,7.89%,16.35%,
2022-03-02,22.59,2022-07-26,17.91,Buy,104 Days,-3.63,Rise by 11.16%,-20.72%,-4.37%,
2022-05-02,20.15,2022-08-15,20.11,Buy,75 Days,-6.21,Rise by -3.18%,-0.2%,-4.56%,
2024-04-01,17.58,2024-06-25,18.34,Buy,61 Days,-8.1,Rise by 3.47%,4.32%,-0.24%,
2024-05-01,16.77,2024-07-23,22.08,Buy,59 Days,-6.67,Rise by 2.8%,31.66%,31.42%,
2024-11-01,20.76,2025-06-16,18.75,Buy,161 Days,-5.58,Rise by 6.17%,-9.68%,21.74%,
2025-04-01,18.2,2025-07-07,18.82,Buy,69 Days,-9.16,Rise by -11.32%,3.41%,25.15%,
2025-08-01,16.41,2025-08-01,16.41,Buy,0 Days,-6.73,Rise by 0%,0.0%,25.15%,
