Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2022-05-02,117.157,2022-08-18,120.86,Buy,78 Days,-7.19,Rise by -0.39%,3.16%,3.16%,
2022-11-03,83.49,2023-02-07,108.04,Buy,68 Days,-7.33,Rise by 18.57%,29.4%,32.57%,
2023-01-03,89.7,2023-04-12,105.22,Buy,71 Days,-3.91,Rise by 3.46%,17.3%,49.87%,
2024-03-01,138.08,2024-04-17,156.88,Buy,33 Days,-3.01,Rise by 9.91%,13.62%,63.48%,
2024-08-05,160.64,2024-10-04,168.56,Buy,44 Days,-3.43,Rise by 3.29%,4.93%,68.41%,
2024-09-03,158.61,2024-11-15,173.89,Buy,53 Days,-5.9,Rise by 3.8%,9.63%,78.05%,
2025-03-04,172.61,2025-05-28,173.38,Buy,61 Days,-4.76,Rise by 0.1%,0.45%,78.49%,
2025-03-14,167.62,2025-05-28,173.38,Buy,53 Days,-3.67,Rise by 3.08%,3.44%,81.93%,
2025-04-01,158.88,2025-07-29,196.43,Buy,85 Days,-9.1,Rise by 1.37%,23.63%,105.56%,
2025-05-07,152.8,2025-06-13,175.88,Buy,27 Days,-3.06,Rise by 13.86%,15.1%,120.67%,
