Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-09,1.8263,2022-01-06,1.8402,42 days,0.76%,0.7611%,Rise by 1.06%,0.7611%
Buy,2022-03-10,1.7891,2022-04-26,1.7500,33 days,-2.19%,-2.1855%,Rise by -0.18%,-1.4244%
Buy,2022-05-02,1.7386,2022-06-14,1.6919,31 days,-2.69%,-2.6861%,Rise by -0.41%,-4.1104%
Buy,2022-09-06,1.6216,2022-09-13,1.6314,5 days,0.60%,0.6043%,Rise by 0.46%,-3.5061%
Buy,2022-09-29,1.5562,2022-09-30,1.5983,1 days,2.71%,2.7053%,Rise by 5.19%,-0.8008%
Buy,2023-02-08,1.5953,2023-02-10,1.6049,2 days,0.60%,0.6018%,Rise by 1.82%,-0.1990%
Buy,2023-09-14,1.6997,2023-09-25,1.6718,7 days,-1.64%,-1.6415%,Rise by -1.27%,-1.8405%
Buy,2023-09-28,1.6659,2023-10-11,1.6741,9 days,0.49%,0.4922%,Rise by 0.73%,-1.3482%
Buy,2024-08-08,1.6817,2024-08-13,1.6904,3 days,0.52%,0.5173%,Rise by 2.58%,-0.8309%
Buy,2025-01-16,1.6725,2025-02-03,1.6816,12 days,0.54%,0.5441%,Rise by 1.08%,-0.2868%
Buy,2025-07-17,1.7208,2025-07-23,1.7279,4 days,0.41%,0.4126%,Rise by 1.04%,0.1258%
