Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days)
BAND MATRIX,BTC-USD,Long,Daily,2025-06-23,105577.7734,2025-07-25,117635.8828,11.42106810144189,24,75.0,12,64
BAND MATRIX,BTC-USD,Long,Daily,2025-02-04,97871.8203,2025-05-29,105641.7578,7.938891374640142,82,75.0,12,64
