Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2022-03-02,61.24,2022-04-26,61.77,Buy,39 Days,-3.37,Rise by -2.06%,0.87%,0.87%,
2023-06-01,76.21,2023-07-26,77.19,Buy,39 Days,-3.77,Rise by 2.87%,1.29%,2.15%,
2024-03-01,72.31,2024-07-23,71.17,Buy,102 Days,-6.55,Rise by 5.02%,-1.58%,0.57%,
2024-05-01,65.51,2024-07-23,71.17,Buy,59 Days,-4.37,Rise by 3.65%,8.64%,9.21%,
