Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,Signal First Origination Date
TRENDPULSE,"MFT.NZ, Long, 2025-12-28 (Price: 69.01)",No Exit Yet,"-0.67%, 1 day","90.91%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-16 (Price: 68.9900), 0.03% below",1 day,No Information,No Information,No Information,No Information,No Information,0.42% above/0.67% below/0.67% below,,,,,9.15%,10.41%,-1.26%,1.17,0.61,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,69.01,2025-12-12
FRACTAL TRACK,"GNE.NZ, Long, 2025-12-28 (Price: 2.4)",No Exit Yet,"1.25%, 1 day","77.78%, Past 11 years, 9","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-01-16 (Price: 2.4100), 0.42% above",1 day,No Information,No Information,No Information,"38.2% (Price: 2.3652), 2.74% above, Upmove Bounce Back","2024-06-09 (Price: 2.05), 2025-10-19 (Price: 2.56)",No Information,,,,,8.62%,2.18%,6.44%,0.59,0.05,,,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),entry,2.4,2025-10-21
DELTADRIFT,"PG, Long, 2025-12-28 (Price: 144.74)",No Exit Yet,"-0.12%, 1 day","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-01-16 (Price: 144.5300), 0.15% below",1 day,No Information,No Information,No Information,No Information,No Information,No Information,,,,,7.35%,3.94%,3.41%,1.98,0.16,,,96.88%/32/0 days (Across ALL Assets),88.57%/105/0 days (Across ALL Assets),entry,144.74,2025-12-26
FRACTAL TRACK,"TCEHY, Long, 2025-12-28 (Price: 78.08)",No Exit Yet,"-1.41%, 1 day","92.31%, Past 18 years, 13","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-01-16 (Price: 78.6400), 0.72% above",1 day,No Information,No Information,No Information,"23.66% (Price: 74.7427), 2.99% above, Upmove Bounce Back","2024-02-25 (Price: 33.0), 2025-10-12 (Price: 87.68)",No Information,,,,,12.94%,13.58%,-0.64%,1.45,0.67,,,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),entry,78.08,2025-10-16
TRENDPULSE,"GLD, Long, 2025-12-28 (Price: 416.74)",No Exit Yet,"-4.35%, 1 day","85.19%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-16 (Price: 421.2900), 1.09% above",1 day,No Information,No Information,No Information,No Information,No Information,0.11% below/4.35% below/4.35% below,,,,,4.9%,5.02%,-0.12%,1.33,0.26,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,416.74,2025-12-26
TRENDPULSE,"C6L.SI, Long, 2025-12-26 (Price: 6.41)",No Exit Yet,"0.0%, 0 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-16 (Price: 6.3500), 0.94% below",0 days,No Information,No Information,No Information,No Information,No Information,0.16% above/0.0% below/0.0% below,,,,,9.44%,0.14%,9.3%,0.66,-0.05,,,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),entry,6.41,2025-12-26
FRACTAL TRACK,"SJ.TO, Long, 2025-12-24 (Price: 86.47)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2025-12-24",Already confirmed,"2026-01-16 (Price: 88.7000), 2.58% above",0 days,No Information,No Information,No Information,"23.66% (Price: 84.9394), 1.8% above, Upmove Bounce Back","2025-08-07 (Price: 73.58), 2025-12-15 (Price: 88.46)",No Information,,,,,26.35%,9.97%,16.38%,1.63,0.54,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,86.47,2025-10-14
FRACTAL TRACK,"DBC, Long, 2025-12-24 (Price: 22.63)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 10","Daily, is CONFIRMED on 2025-12-24",Already confirmed,"2026-01-16 (Price: 23.1600), 2.34% above",0 days,No Information,No Information,No Information,"38.2% (Price: 22.7333), 0.45% below, Upmove Bounce Back","2025-08-19 (Price: 21.59), 2025-12-05 (Price: 23.44)",No Information,,,,,7.63%,6.83%,0.8%,0.42,0.39,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,22.63,2025-11-28
DELTADRIFT,"ARM, Long, 2025-12-24 (Price: 111.55)",No Exit Yet,"0.0%, 0 days","83.33%, Past 2 years, 6","Daily, is CONFIRMED on 2025-12-24",Already confirmed,"2026-01-16 (Price: 105.7800), 5.17% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,,,,,17.56%,26.25%,-8.69%,0.29,1.04,,,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),entry,111.55,2025-11-18
FRACTAL TRACK,"UBER, Long, 2025-12-23 (Price: 80.97)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 23","Daily, is CONFIRMED on 2025-12-23",Already confirmed,"2026-01-16 (Price: 84.8500), 4.79% above",0 days,No Information,No Information,No Information,"38.2% (Price: 78.3442), 3.35% above, Upmove Bounce Back","2023-10-26 (Price: 40.09), 2025-09-22 (Price: 101.99)",No Information,,,,,33.14%,7.1%,26.04%,1.78,0.39,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,80.97,2025-10-20
DELTADRIFT,"INDY, Long, 2025-12-22 (Price: 49.33)",No Exit Yet,"0.0%, 0 days","72.73%, Past 4 years, 11","Daily, is CONFIRMED on 2025-12-22",Already confirmed,"2026-01-16 (Price: 47.9800), 2.74% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,,,,,8.33%,2.61%,5.72%,0.34,0.03,,,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),entry,49.33,2025-12-22
FRACTAL TRACK,"CVS, Long, 2025-12-21 (Price: 77.72)",No Exit Yet,"0.82%, 1 day","90.91%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-01-16 (Price: 78.6000), 1.13% above",1 day,No Information,No Information,No Information,"23.66% (Price: 75.3098), 4.05% above, Upmove Bounce Back","2024-12-29 (Price: 43.56), 2025-11-02 (Price: 85.15)",No Information,,,,,4.71%,3.7%,1.01%,0.98,0.17,,,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),entry,79.75,2025-11-12
TRENDPULSE,"ABNB, Long, 2025-12-21 (Price: 135.28)",No Exit Yet,"1.23%, 1 day","80.0%, Past 10 years, 5","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-01-16 (Price: 130.6600), 3.42% below",1 day,No Information,No Information,No Information,No Information,No Information,6.67% above/1.23% above/1.23% above,,,,,-12.18%,-2.45%,-9.73%,0.4,0.05,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,129.29,2025-12-10
TRENDPULSE,"UPS, Long, 2025-12-21 (Price: 101.92)",No Exit Yet,"-1.17%, 1 day","84.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-01-16 (Price: 106.9100), 4.90% above",1 day,No Information,No Information,No Information,No Information,No Information,0.19% below/1.17% below/1.17% below,,,,,6.24%,1.27%,4.97%,0.28,0.02,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,101.0,2025-10-17
TRENDPULSE,"RHHBY, Long, 2025-12-21 (Price: 51.2)",No Exit Yet,"0.39%, 1 day","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-01-16 (Price: 54.2400), 5.94% above",1 day,No Information,No Information,No Information,No Information,No Information,2.72% above/2.25% above/0.39% above,,,,,3.03%,4.77%,-1.74%,0.42,0.23,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,50.25,2025-11-11
TRENDPULSE,"WPM.TO, Long, 2025-12-21 (Price: 164.88)",No Exit Yet,"1.92%, 1 day","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-01-16 (Price: 188.2800), 14.19% above",1 day,No Information,No Information,No Information,No Information,No Information,1.92% above/1.92% above/1.92% above,,,,,3.49%,6.66%,-3.17%,0.68,0.35,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,163.7,2025-11-28
FRACTAL TRACK,"UBER, Short, 2025-12-21 (Price: 79.31)",No Exit Yet,"-2.46%, 1 day","90.0%, Past 6 years, 10","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-01-16 (Price: 84.8500), 6.99% above",1 day,No Information,No Information,No Information,"23.66% (Price: 82.5663), 1.58% below, Upmove Break Below","2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",No Information,,,,,12.48%,5.2%,7.28%,0.51,0.43,,,100.0%/1/0 days (Across ALL Assets),43.75%/16/0 days (Across ALL Assets),entry,83.46,2025-10-20
FRACTAL TRACK,"BIPC.TO, Long, 2025-12-19 (Price: 63.51)",No Exit Yet,"0.0%, 0 days","93.33%, Past 5 years, 15","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 63.5100), 0.00% below",0 days,No Information,No Information,No Information,"38.2% (Price: 61.5083), 3.25% above, Upmove Bounce Back","2025-08-01 (Price: 52.64), 2025-10-16 (Price: 66.99)",No Information,,,,,22.95%,1.41%,21.54%,1.2,0.05,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,62.42,2025-11-03
FRACTAL TRACK,"PLTR, Long, 2025-12-19 (Price: 193.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 18","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 193.3800), 0.00% above",0 days,No Information,No Information,No Information,"23.66% (Price: 174.0648), 11.1% above, Upmove Bounce Back","2025-04-07 (Price: 66.12), 2025-11-03 (Price: 207.52)",No Information,,,,,47.99%,28.98%,19.01%,2.63,1.12,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,186.74,2025-12-19
FRACTAL TRACK,"IBKR, Long, 2025-12-19 (Price: 64.26)",No Exit Yet,"0.0%, 0 days","93.33%, Past 5 years, 15","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 64.2600), 0.00% above",0 days,No Information,No Information,No Information,"23.66% (Price: 62.1287), 3.43% above, Upmove Bounce Back","2024-08-05 (Price: 25.9225), 2025-10-10 (Price: 73.35)",No Information,,,,,35.27%,24.2%,11.07%,1.68,1.19,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,63.49,2025-10-21
FRACTAL TRACK,"FXI, Long, 2025-12-18 (Price: 38.21)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 38.6000), 1.02% above",0 days,No Information,No Information,No Information,"23.66% (Price: 36.9983), 3.28% above, Upmove Bounce Back","2024-01-22 (Price: 20.86), 2025-10-02 (Price: 42.0)",No Information,,,,,13.13%,-2.21%,15.34%,1.46,-0.08,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,38.34,2025-10-20
FRACTAL TRACK,"FRW.NZ, Long, 2025-12-18 (Price: 14.2)",No Exit Yet,"0.0%, 0 days","88.89%, Past 5 years, 9","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 14.0000), 1.41% below",0 days,No Information,No Information,No Information,"23.66% (Price: 13.0889), 8.49% above, Upmove Bounce Back","2023-10-30 (Price: 7.31), 2025-10-31 (Price: 14.88)",No Information,,,,,11.59%,4.86%,6.73%,1.04,0.24,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,14.2,2025-10-15
OSCILLATOR DELTA,"CEN.NZ, Long, 2025-12-18 (Price: 9.27)",No Exit Yet,"0.0%, 0 days","81.82%, Past 6 years, 22","Daily, is Confirmed on 2025-12-18",No Cancellation Possible,"2025-12-19 (Price: 9.4500), 1.94% above",0 days,No Information,No Information,No Information,No Information,No Information,No Information,,,,,11.41%,3.46%,7.95%,0.46,0.15,,,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets),entry,9.3,2025-12-18
FRACTAL TRACK,"PFE, Long, 2025-12-18 (Price: 25.04)",No Exit Yet,"0.0%, 0 days","93.33%, Past 5 years, 15","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 25.1900), 0.60% above",0 days,No Information,No Information,No Information,"61.8% (Price: 25.15), 0.44% below, Upmove Bounce Back","2025-09-25 (Price: 23.58), 2025-10-03 (Price: 27.69)",No Information,,,,,10.93%,-6.4%,17.33%,0.41,-0.42,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,25.01,2025-10-14
FRACTAL TRACK,"XLE, Long, 2025-12-18 (Price: 44.13)",No Exit Yet,"0.0%, 0 days","90.0%, Past 5 years, 20","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 44.1300), 0.00% above",0 days,No Information,No Information,No Information,"50% (Price: 44.505), 0.84% below, Upmove Bounce Back","2025-10-16 (Price: 42.35), 2025-12-05 (Price: 46.66)",No Information,,,,,21.1%,11.53%,9.57%,0.91,0.63,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,44.65,2025-10-20
TRENDPULSE,"MCD, Long, 2025-12-18 (Price: 319.65)",No Exit Yet,"0.0%, 0 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 315.8400), 1.19% below",0 days,No Information,No Information,No Information,No Information,No Information,0.3% above/0.0% below/0.0% below,,,,,12.38%,5.6%,6.78%,1.08,0.28,,,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),entry,319.38,2025-12-05
FRACTAL TRACK,"LYFT, Long, 2025-12-17 (Price: 19.18)",No Exit Yet,"0.0%, 0 days","92.31%, Past 5 years, 13","Daily, is CONFIRMED on 2025-12-17",Already confirmed,"2025-12-19 (Price: 19.4200), 1.25% above",0 days,No Information,No Information,No Information,"38.2% (Price: 18.2131), 5.31% above, Upmove Bounce Back","2025-04-07 (Price: 9.66), 2025-09-17 (Price: 23.5)",No Information,,,,,28.24%,-11.2%,39.44%,1.13,0.03,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,19.22,2025-10-10
DELTADRIFT,"CAD=X, Long, 2025-12-16 (Price: 1.3769)",No Exit Yet,"0.12%, 1 day","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2025-12-16",Already confirmed,"2025-12-20 (Price: 1.3799), 0.22% above",1 day,No Information,No Information,No Information,No Information,No Information,No Information,,,,,5.03%,1.76%,3.27%,0.25,-0.29,,,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),entry,1.3769,2025-12-16
FRACTAL TRACK,"NVDA, Long, 2025-12-16 (Price: 177.72)",No Exit Yet,"-3.81%, 1 day","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-12-16",Already confirmed,"2025-12-19 (Price: 180.9900), 1.84% above",1 day,No Information,No Information,No Information,"78.6% (Price: 174.3677), 1.97% below, Upmove Bounce Back","2025-09-05 (Price: 164.07), 2025-10-29 (Price: 212.19)",No Information,,,,,41.13%,44.79%,-3.66%,2.14,1.73,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,176.26,2025-10-24
FRACTAL TRACK,"META, Long, 2025-12-16 (Price: 657.15)",No Exit Yet,"-1.16%, 1 day","80.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-16",Already confirmed,"2025-12-19 (Price: 658.7700), 0.25% above",1 day,No Information,No Information,No Information,"23.66% (Price: 634.4653), 2.37% above, Upmove Bounce Back","2022-12-20 (Price: 112.46), 2025-08-15 (Price: 796.25)",No Information,,,,,26.51%,13.27%,13.24%,0.96,0.62,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,643.5,2025-11-07
TRENDPULSE,"^TNX, Long, 2025-12-15 (Price: 4.182)",No Exit Yet,"-0.74%, 2 days","90.62%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 4.1510), 0.74% below",2 days,No Information,No Information,No Information,No Information,No Information,0.24% above/0.74% below/0.74% below,,,,,26.36%,9.62%,16.74%,0.75,0.51,,,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),entry,4.17,2025-12-08
FRACTAL TRACK,"BYD.TO, Long, 2025-12-15 (Price: 222.94)",No Exit Yet,"-0.78%, 2 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 221.5600), 0.62% below",2 days,No Information,No Information,No Information,"50% (Price: 223.09), 0.85% below, Upmove Bounce Back","2025-10-30 (Price: 204.5), 2025-12-02 (Price: 241.68)",No Information,,,,,27.71%,0.9%,26.81%,1.63,0.03,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,222.88,2025-10-21
TRENDPULSE,"WMT, Long, 2025-12-14 (Price: 116.7)",No Exit Yet,"-0.89%, 3 days","86.36%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-19 (Price: 114.3600), 2.01% below",3 days,No Information,No Information,No Information,No Information,No Information,4.66% above/0.89% below/0.89% below,,,,,8.78%,8.74%,0.04%,1.42,0.53,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,114.57,2025-10-14
FRACTAL TRACK,"MSFT, Long, 2025-12-14 (Price: 478.53)",No Exit Yet,"-0.5%, 3 days","100.0%, Past 20 years, 16","Weekly, was CONFIRMED on 2025-12-14",Already confirmed,"2025-12-19 (Price: 485.9200), 1.54% above",3 days,No Information,No Information,No Information,"38.2% (Price: 474.9779), 0.24% above, Upmove Bounce Back","2025-04-13 (Price: 344.79), 2025-08-03 (Price: 555.45)",No Information,,,,,11.58%,10.65%,0.93%,3.32,0.59,,,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),entry,484.89,2025-11-28
FRACTAL TRACK,"IEI, Long, 2025-12-12 (Price: 119.36)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 7","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-19 (Price: 119.3400), 0.02% below",0 days,No Information,No Information,No Information,"23.66% (Price: 119.037), 0.27% above, Upmove Bounce Back","2025-01-13 (Price: 114.51), 2025-11-25 (Price: 120.44)",No Information,,,,,3.55%,-1.4%,4.95%,0.29,-1.34,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,119.32,2025-09-30
FRACTAL TRACK,"GILD, Long, 2025-12-12 (Price: 120.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 14","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-19 (Price: 124.2900), 3.23% above",0 days,No Information,No Information,No Information,"38.2% (Price: 120.9683), 0.47% below, Upmove Bounce Back","2025-10-02 (Price: 108.46), 2025-11-20 (Price: 128.7)",No Information,,,,,29.7%,11.0%,18.7%,2.35,0.63,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,122.86,2025-10-14
FRACTAL TRACK,"XLV, Long, 2025-12-11 (Price: 153.58)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 14","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-19 (Price: 154.9400), 0.89% above",0 days,No Information,No Information,No Information,"23.66% (Price: 151.6178), 1.29% above, Upmove Bounce Back","2025-08-07 (Price: 127.96), 2025-11-26 (Price: 158.95)",No Information,,,,,12.63%,5.05%,7.58%,1.59,0.27,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,152.76,2025-10-16
FRACTAL TRACK,"PPH, Long, 2025-12-11 (Price: 100.16)",No Exit Yet,"0.0%, 0 days","86.67%, Past 5 years, 15","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-19 (Price: 102.1700), 2.01% above",0 days,No Information,No Information,No Information,"23.66% (Price: 98.3974), 1.79% above, Upmove Bounce Back","2025-08-07 (Price: 81.74), 2025-11-26 (Price: 103.56)",No Information,,,,,19.65%,6.44%,13.21%,1.72,0.41,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,99.78,2025-10-21
FRACTAL TRACK,"NIFTY_MIDCAP_100.NS, Long, 2025-12-11 (Price: 59578.0508)",No Exit Yet,"0.0%, 0 days","92.86%, Past 5 years, 14","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-19 (Price: 60310.1484), 1.23% above",0 days,No Information,No Information,No Information,"23.66% (Price: 57893.4327), 2.91% above, Upmove Bounce Back","2025-03-03 (Price: 46865.6992), 2025-12-01 (Price: 61311.25)",No Information,,,,,20.49%,16.66%,3.83%,1.2,1.27,,,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),entry,59018.3008,2025-12-11
TRENDPULSE,"MX.TO, Long, 2025-12-10 (Price: 54.01)",No Exit Yet,"0.0%, 0 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-19 (Price: 53.9700), 0.07% below",0 days,No Information,No Information,No Information,No Information,No Information,0.24% below/0.0% below/0.0% below,,,,,15.61%,-0.38%,15.99%,1.09,0.16,,,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),entry,53.8,2025-12-10
DELTADRIFT,"STI, Long, 2025-12-10 (Price: 7.86)",No Exit Yet,"0.0%, 0 days","75.0%, Past 3 years, 8","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-12 (Price: 7.4800), 4.83% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,,,,,48.55%,-52.87%,101.42%,0.42,0.38,,,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),entry,7.82,2025-12-10
OSCILLATOR DELTA,"NZDCAD=X, Short, 2025-12-09 (Price: 0.8018)",No Exit Yet,"-0.0%, 0 days (business days)","92.31%, Past 6 years, 26","Daily, is Confirmed on 2025-12-09",No Cancellation Possible,"2025-12-20 (Price: 0.7942), 0.95% below",0 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,,,15 days (calendar days)/1 day (business days)/4 days (business days),,19.67%,5.1%,14.57%,0.32,-0.64,,,88.24%/17/4 days (business days) (Across ALL Assets),61.11%/36/6 days (business days) (Across ALL Assets),entry,0.7998,2025-12-09
FRACTAL TRACK,"NFLX, Short, 2025-12-09 (Price: 96.79)",No Exit Yet,"-0.0%, 0 days (business days)","87.5%, Past 23 years, 16","Monthly, was CONFIRMED on 2025-12-05",No Cancellation Possible,"2025-12-19 (Price: 94.3900), 2.48% below",0 days (business days),No Information,No Information,No Information,"23.66% (Price: 102.5619), 5.63% below, Upmove Break Below","2012-08-31 (Price: 0.7544), 2025-06-30 (Price: 134.115)",No Information,,,2.1 months (calendar days)/20 days (calendar days)/27 days (calendar days),,107.65%,5.4%,102.25%,0.58,0.92,,,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets),entry,106.51,2025-10-29
OSCILLATOR DELTA,"BTI, Short, 2025-12-08 (Price: 57.41)",No Exit Yet,"-0.0%, 0 days (business days)","86.84%, Past 6 years, 38","Daily, is Confirmed on 2025-12-08",No Cancellation Possible,"2025-12-19 (Price: 56.4500), 1.67% below",0 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,,,15 days (calendar days)/1 day (business days)/5 days (business days),,42.91%,5.1%,37.81%,0.21,0.19,,,88.24%/17/4 days (business days) (Across ALL Assets),61.11%/36/6 days (business days) (Across ALL Assets),entry,57.01,2025-10-15
TRENDPULSE,"BNS.TO, Long, 2025-12-08 (Price: 99.39)",No Exit Yet,"0.81%, 2 days","93.1%, Past 4 years, 29","Daily, is CONFIRMED on 2025-12-08",Already confirmed,"2025-12-19 (Price: 100.1200), 0.73% above",2 days,No Information,No Information,No Information,No Information,No Information,0.81% above/0.81% above/0.81% above,,,,,6.73%,3.09%,3.64%,0.73,0.12,,,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),entry,99.15,2025-10-15
OSCILLATOR DELTA,"CVS, Long, 2025-12-08 (Price: 76.53)",No Exit Yet,"0.0%, 0 days (business days)","75.68%, Past 6 years, 37","Daily, is Confirmed on 2025-12-08",No Cancellation Possible,"2025-12-19 (Price: 77.7200), 1.55% above",0 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,,,4.2 months (calendar days)/12 days (calendar days)/1.5 month (calendar days),,3.83%,2.46%,1.37%,0.04,0.1,,,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets),entry,75.95,2025-11-12
TRENDPULSE,"FBU.NZ, Long, 2025-12-07 (Price: 3.64)",No Exit Yet,"-1.65%, 3 days","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 3.6000), 1.10% below",3 days,No Information,No Information,No Information,No Information,No Information,1.65% below/1.65% below/1.65% below,,,,,-4.06%,-3.73%,-0.33%,-0.25,-0.19,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,3.28,2025-12-07
