Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-12-01,47.59,2022-08-22,42.7,Buy,188 Days,-7.05,Rise by 1.95%,-10.28%,-10.28%
2022-03-01,42.61,2023-07-24,44.53,Buy,364 Days,-14.46,Rise by 5.02%,4.51%,-5.77%
2022-07-01,39.48,2022-08-15,43.7,Buy,31 Days,-3.23,Rise by 4.58%,10.69%,4.92%
2023-02-01,40.17,2023-05-15,41.66,Buy,73 Days,-6.22,Rise by 0.9%,3.71%,8.63%
2023-03-01,39.21,2023-07-07,43.6,Buy,92 Days,-10.0,Rise by 2.6%,11.2%,19.83%
2024-11-04,54.3,2025-03-27,51.79,Buy,103 Days,-4.21,Rise by 1.09%,-4.62%,15.2%
2025-09-02,52.35,2025-10-27,54.72,Buy,39 Days,-3.53,Rise by 3.19%,4.53%,19.73%
