Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2012-07-08,1.72,2013-04-21,2.96,204 days,2012-05-20/1.71,72.09%,72.09%,Rise by 14.53%,72.09%,
Buy,2013-11-03,3.24,2016-08-21,5.45,729 days,2013-05-05/3.21,68.21%,68.21%,Rise by 11.42%,140.30%,
Buy,2017-12-24,5.38,2019-12-29,8.9,524 days,2017-10-08/5.25,65.43%,65.43%,Rise by 44.98%,205.73%,
Buy,2020-10-11,9.72,2020-10-11,9.72,0 days,2020-01-26/9.23,0.00%,0.00%,Rise by 0%,205.73%,
