Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-05-03,59.8867,2022-05-17,61.7533,10 days,3.12%,3.1169%,Rise by 8.09%,3.1169%
Buy,2022-06-07,58.4933,2022-06-22,52.8900,11 days,-9.58%,-9.5794%,Rise by -11.61%,-6.4625%
Buy,2022-06-24,52.8800,2022-06-30,54.6300,4 days,3.31%,3.3094%,Rise by 21.35%,-3.1531%
Buy,2022-10-03,56.7800,2022-10-26,59.0100,17 days,3.93%,3.9274%,Rise by 5.05%,0.7743%
Buy,2022-12-21,56.4400,2023-01-19,58.0000,21 days,2.76%,2.7640%,Rise by 8.4%,3.5383%
Buy,2023-08-08,56.0900,2023-09-05,51.1700,20 days,-8.77%,-8.7716%,Rise by -11.34%,-5.2333%
Buy,2023-10-04,45.7400,2023-10-19,40.1200,11 days,-12.29%,-12.2868%,Rise by -12.29%,-17.5201%
Buy,2023-10-20,40.7300,2023-10-30,36.0300,6 days,-11.54%,-11.5394%,Rise by 18.24%,-29.0595%
Buy,2023-10-31,35.7100,2023-11-01,39.4100,1 days,10.36%,10.3612%,Rise by 34.86%,-18.6983%
Buy,2024-04-17,40.8800,2024-04-19,42.4300,2 days,3.79%,3.7916%,Rise by 19.74%,-14.9067%
Buy,2024-12-20,54.1900,2024-12-30,57.1700,6 days,5.50%,5.4992%,Rise by 13.32%,-9.4075%
Buy,2025-03-11,51.8000,2025-04-02,53.6200,16 days,3.51%,3.5135%,Rise by 3.51%,-5.8940%
