Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-05-29,120.5000,2023-07-16,143.3400,294 days,18.95%,18.9544%,Rise by -21.44%,18.9544%
Buy,2024-08-25,116.8500,2024-09-22,131.1800,19 days,12.26%,12.2636%,Rise by 17.54%,31.2179%
Buy,2025-04-20,112.7000,2025-05-11,127.0400,14 days,12.72%,12.7240%,Rise by 24.79%,43.9420%
