Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-20,157.2300,2021-12-22,169.2900,2 days,7.67%,7.6703%,Rise by -11.97%,7.6703%
Buy,2022-01-28,142.7700,2022-01-31,153.9700,1 days,7.84%,7.8448%,Rise by 30.73%,15.5151%
Buy,2022-05-12,115.9400,2022-06-08,123.7700,19 days,6.75%,6.7535%,Rise by 6.75%,22.2686%
Buy,2022-06-17,99.4900,2022-07-20,107.7300,23 days,8.28%,8.2822%,Rise by 26.69%,30.5508%
Buy,2022-11-04,96.0900,2022-11-11,109.5700,5 days,14.03%,14.0285%,Rise by -10.57%,44.5793%
Buy,2023-10-23,120.3900,2023-11-14,126.6800,16 days,5.22%,5.2247%,Rise by 7.73%,49.8040%
Buy,2024-05-14,146.7000,2024-06-12,149.3200,21 days,1.79%,1.7860%,Rise by 5.21%,51.5900%
Buy,2024-08-06,130.4700,2024-09-06,114.2800,23 days,-12.41%,-12.4090%,Rise by -10.03%,39.1810%
Buy,2025-03-14,122.8600,2025-03-21,128.8000,5 days,4.83%,4.8348%,Rise by -13.19%,44.0158%
Buy,2025-08-12,121.6100,2025-08-21,126.4300,7 days,3.96%,3.9635%,Rise by 7.33%,47.9792%
