Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2020-12-11,13.16,2021-01-04,12.96,15 days,-1.520000%,-1.520000%,Rise by 1.670000%,-1.520000%
Buy,2021-01-15,12.5,2021-03-25,13.74,48 days,9.920000%,9.920000%,Rise by 16.000000%,8.400000%
Buy,2021-05-14,14.1,2021-11-11,13.17,128 days,-6.600000%,-6.600000%,Rise by 5.820000%,1.800000%
Buy,2021-11-16,13.15,2022-06-09,13.8,146 days,4.940000%,4.940000%,Rise by -1.600000%,6.750000%
Buy,2022-06-15,13.5,2022-08-26,16.12,51 days,19.410000%,19.410000%,Rise by 29.630000%,26.150000%
Buy,2022-12-20,18.55,2023-01-24,19.06,24 days,2.750000%,2.750000%,Rise by 5.230000%,28.900000%
Buy,2023-03-13,18.0,2023-06-05,20.16,59 days,12.000000%,12.000000%,Rise by -1.110000%,40.900000%
Buy,2023-08-17,20.75,2023-12-12,21.4,82 days,3.130000%,3.130000%,Rise by 0.920000%,44.040000%
Buy,2024-02-13,21.73,2024-05-30,23.96,76 days,10.260000%,10.260000%,Rise by 3.730000%,54.300000%
Buy,2024-08-08,25.44,2024-09-17,28.19,27 days,10.810000%,10.810000%,Rise by 11.790000%,65.110000%
Buy,2024-11-15,27.11,2025-06-02,32.47,140 days,19.770000%,19.770000%,Rise by 7.970000%,84.880000%
