Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-02-25,3520.7500,2022-03-09,3632.6001,8 days,3.18%,3.1769%,Rise by 8.35%,3.1769%,
Buy,2022-05-26,3226.9500,2022-05-30,3375.2500,2 days,4.60%,4.5957%,Rise by 2.83%,7.7726%,
Buy,2022-06-20,3112.3999,2022-06-21,3211.9500,1 days,3.20%,3.1985%,Rise by 9.96%,10.9711%,
Buy,2022-07-15,2994.6001,2022-07-20,3164.8000,3 days,5.68%,5.6836%,Rise by 14.29%,16.6546%,
Buy,2023-03-17,3179.3000,2023-04-05,3239.8000,13 days,1.90%,1.9029%,Rise by 2.65%,18.5575%,
Buy,2023-10-27,3350.9500,2023-11-16,3497.8501,14 days,4.38%,4.3838%,Rise by 5.35%,22.9414%,
Buy,2024-03-28,3876.3000,2024-04-04,4003.3000,5 days,3.28%,3.2763%,Rise by 2.65%,26.2177%,
Buy,2024-09-24,4271.2998,2024-10-18,4123.0498,18 days,-3.47%,-3.4708%,Rise by 4.74%,22.7469%,
Buy,2024-10-23,4066.2500,2024-11-11,4198.7002,13 days,3.26%,3.2573%,Rise by 10.03%,26.0042%,
Buy,2025-02-21,3786.0000,2025-02-27,3612.5500,4 days,-4.58%,-4.5814%,Rise by -3.39%,21.4228%,
Buy,2025-03-04,3532.0500,2025-03-07,3611.2000,3 days,2.24%,2.2409%,Rise by 3.56%,23.6637%,
Buy,2025-04-09,3246.6001,2025-04-21,3321.6001,8 days,2.31%,2.3101%,Rise by 6.96%,25.9738%,
