Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1988-09-30,7.03,1989-06-30,11.31,195 days,1986-06-30/6.75,60.89%,60.89%,Rise by 86.67%,60.89%,
Buy,1989-09-30,13.12,1990-03-31,9.69,129 days,1989-06-30/11.3125,-26.19%,-26.19%,Rise by -28.57%,34.70%,
Buy,1992-03-31,11.38,1996-03-31,20.03,1043 days,1991-12-31/10.1562,76.10%,76.10%,Rise by 20.05%,110.80%,
Buy,1996-06-30,20.66,1998-03-31,36.47,456 days,1996-03-31/20.0312,76.55%,76.55%,Rise by 56.28%,187.35%,
Buy,1998-06-30,38.34,1998-09-30,26.75,66 days,1998-03-31/36.4688,-30.24%,-30.24%,Rise by -4.4%,157.11%,
Buy,2001-12-31,31.48,2006-09-30,53.57,1239 days,2001-06-30/30.015,70.20%,70.20%,Rise by 28.64%,227.31%,
Buy,2013-06-30,12.86,2016-12-31,22.1,914 days,2013-03-31/12.18,71.85%,71.85%,Rise by 33.75%,299.16%,
Buy,2017-03-31,23.59,2021-03-31,38.69,1043 days,2016-12-31/22.1,64.01%,64.01%,Rise by 27.13%,363.17%,
Buy,2021-06-30,41.23,2022-06-30,31.13,261 days,2021-03-31/38.69,-24.50%,-24.50%,Rise by -24.5%,338.68%,
Buy,2024-06-30,39.77,2024-06-30,39.77,0 days,2024-03-31/37.92,0.00%,0.00%,Rise by 0%,338.68%,
