Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-02-01,156.26,2021-05-13,215.67,Buy,73 Days,-6.42,Rise by 6.82%,38.02%,38.02%
2021-08-04,190.79,2021-10-29,213.47,Buy,62 Days,-3.3,Rise by 3.65%,11.89%,49.91%
2021-10-01,181.49,2022-02-04,224.79,Buy,90 Days,-5.13,Rise by 1.1%,23.86%,73.77%
2022-05-04,183.8,2022-08-24,203.04,Buy,80 Days,-7.37,Rise by -0.36%,10.47%,84.23%
2022-05-16,179.77,2022-07-28,188.24,Buy,53 Days,-3.16,Rise by 1.54%,4.71%,88.94%
2022-09-22,167.86,2022-11-18,178.97,Buy,41 Days,-3.54,Rise by 0.61%,6.62%,95.56%
2022-10-11,159.41,2023-02-07,188.29,Buy,85 Days,-5.13,Rise by 4.76%,18.12%,113.68%
2022-11-02,164.58,2023-02-07,188.29,Buy,69 Days,-3.46,Rise by 10.26%,14.41%,128.09%
2023-05-04,173.29,2023-07-07,179.76,Buy,46 Days,-3.05,Rise by -1.03%,3.73%,131.82%
2023-05-16,166.61,2023-07-18,184.57,Buy,45 Days,-3.36,Rise by 2.98%,10.78%,142.6%
2023-06-02,170.14,2023-12-21,157.16,Buy,144 Days,-8.36,Rise by 5.21%,-7.63%,134.97%
2023-09-01,168.0,2023-12-21,157.16,Buy,79 Days,-7.88,Rise by -7.22%,-6.45%,128.52%
2023-09-14,160.73,2023-12-13,157.25,Buy,64 Days,-3.13,Rise by -3.02%,-2.17%,126.35%
2023-10-05,153.38,2023-12-13,157.25,Buy,49 Days,-3.81,Rise by 2.48%,2.52%,128.88%
2023-11-01,139.8,2024-10-29,134.31,Buy,259 Days,-8.68,Rise by 8.75%,-3.93%,124.95%
2024-02-01,142.41,2024-02-01,142.41,Buy,0 Days,-9.09,Rise by 0%,0.0%,124.95%
2024-03-01,148.06,2024-07-23,127.68,Buy,102 Days,-4.09,Rise by 6.29%,-13.76%,111.18%
2024-05-01,145.92,2024-07-23,127.68,Buy,59 Days,-3.58,Rise by 3.21%,-12.5%,98.68%
2024-06-04,135.63,2024-07-23,127.68,Buy,35 Days,-3.12,Rise by 2.19%,-5.86%,92.82%
2024-07-01,135.95,2024-10-29,134.31,Buy,86 Days,-7.04,Rise by 8.41%,-1.21%,91.62%
2024-08-02,128.06,2024-10-03,130.72,Buy,44 Days,-4.23,Rise by 1.24%,2.08%,93.69%
2024-09-03,127.5,2025-07-09,102.15,Buy,221 Days,-7.0,Rise by 1.83%,-19.88%,73.81%
2024-12-06,125.61,2025-01-31,114.23,Buy,40 Days,-3.49,Rise by 0.6%,-9.06%,64.75%
2025-01-02,123.87,2025-06-16,101.09,Buy,117 Days,-5.46,Rise by 10.0%,-18.39%,46.36%
2025-02-03,111.29,2025-07-09,102.15,Buy,112 Days,-7.1,Rise by 4.43%,-8.21%,38.15%
2025-03-04,116.79,2025-06-16,101.09,Buy,74 Days,-4.58,Rise by 1.77%,-13.44%,24.71%
2025-04-01,109.26,2025-06-16,101.09,Buy,54 Days,-4.05,Rise by -15.87%,-7.48%,17.23%
2025-04-11,97.08,2025-07-09,102.15,Buy,63 Days,-4.88,Rise by 1.9%,5.22%,22.45%
2025-04-29,96.73,2025-06-16,101.09,Buy,34 Days,-3.05,Rise by 4.63%,4.51%,26.96%
2025-05-09,95.89,2025-07-09,102.15,Buy,43 Days,-3.91,Rise by 5.66%,6.53%,33.49%
2025-08-01,84.5,2025-08-01,84.5,Buy,0 Days,-11.32,Rise by 0%,0.0%,33.49%
2025-08-20,86.94,2025-10-24,87.22,Buy,47 Days,-3.27,Rise by -2.0%,0.32%,33.81%
2025-09-02,85.23,2025-09-02,85.23,Buy,0 Days,-8.99,Rise by 0%,0.0%,33.81%
