Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2020-06-30,258.19,2022-03-31,151.02,457 days,2018-09-30/180.83,-41.51%,-41.51%,Rise by -12.72%,-41.51%,
Buy,2024-03-31,263.9,2024-12-31,447.38,196 days,2023-12-31/187.91,69.53%,69.53%,Rise by 148.32%,28.02%,
Buy,2025-03-31,550.03,2025-03-31,550.03,0 days,2024-12-31/447.38,0.00%,0.00%,Rise by 0%,28.02%,
