Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2011-07-24,7.91,2012-05-27,5.71,219 days,-27.720000%,-27.720000%,Rise by -11.740000%,-27.720000%,
Buy,2012-06-17,5.71,2012-07-15,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2012-08-05,5.71,2012-09-02,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2012-09-23,5.71,2012-10-21,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2012-11-11,5.71,2012-12-09,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2012-12-30,5.71,2013-01-27,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2013-02-17,5.71,2013-03-17,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2013-04-07,5.71,2013-05-05,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2013-05-26,5.71,2013-06-23,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2013-07-14,5.71,2013-08-11,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2013-09-01,5.71,2013-09-29,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2013-10-20,5.71,2013-11-17,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2013-12-08,5.71,2014-01-05,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2014-01-26,5.71,2014-02-23,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2014-03-16,5.71,2014-04-13,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2014-05-04,5.71,2014-06-01,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2014-06-22,5.71,2014-07-20,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2014-08-10,5.71,2014-09-07,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2014-09-28,5.71,2014-10-26,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2014-11-16,5.71,2014-12-14,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2015-01-04,5.71,2015-02-01,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2015-02-22,5.71,2015-03-22,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2015-04-12,5.71,2015-05-10,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2015-05-31,5.71,2015-06-28,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2015-07-19,5.71,2015-08-16,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2015-09-06,5.71,2015-10-04,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2015-10-25,5.71,2015-11-22,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2015-12-13,5.71,2016-01-10,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2016-01-31,5.71,2016-02-28,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2016-03-20,5.71,2016-04-17,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2016-05-08,5.71,2016-06-05,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2016-06-26,5.71,2016-07-24,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2016-08-14,5.71,2016-09-11,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2016-10-02,5.71,2016-10-30,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2016-11-20,5.71,2016-12-18,5.71,19 days,0.000000%,0.000000%,Rise by 0.000000%,-27.720000%,
Buy,2017-01-08,5.71,2017-02-05,5.71,19 days,0.000000%,0.000000%,Rise by 40.850000%,-27.720000%,
Buy,2017-11-12,6.63,2017-11-12,6.63,0 days,0.00%,0.00%,Rise by 0%,-27.720000%,
