Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2018-05-06,45.9600,2018-05-20,48.7800,9 days,6.14%,6.1358%,Rise by 59.25%,6.1358%
Buy,2019-11-10,52.5000,2019-11-17,57.1300,4 days,8.82%,8.8190%,Rise by 15.26%,14.9548%
Buy,2020-04-12,23.7700,2020-06-07,35.4200,39 days,49.01%,49.0114%,Rise by 49.01%,63.9662%
Buy,2022-03-13,51.7300,2022-04-10,58.9500,19 days,13.96%,13.9571%,Rise by 19.93%,77.9233%
Buy,2023-10-29,51.5900,2023-12-24,55.2600,39 days,7.11%,7.1138%,Rise by 13.9%,85.0370%
Buy,2024-06-09,46.4000,2025-01-26,51.4100,164 days,10.80%,10.7974%,Rise by -10.41%,95.8345%
