Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-03-02,228.8133,2021-06-29,226.92,Buy,85 Days,-3.39,Rise by 3.13%,-0.83%,-0.83%
2021-06-03,190.9467,2021-08-05,238.21,Buy,45 Days,-4.03,Rise by 7.83%,24.75%,23.92%
2022-05-11,244.6667,2022-07-27,274.82,Buy,55 Days,-3.24,Rise by -14.42%,12.32%,36.25%
2022-06-03,234.5167,2023-02-14,209.25,Buy,182 Days,-5.35,Rise by 1.07%,-10.77%,25.47%
2022-10-03,242.4,2023-02-14,209.25,Buy,96 Days,-3.24,Rise by -10.68%,-13.68%,11.8%
2022-11-02,214.98,2023-02-14,209.25,Buy,74 Days,-6.02,Rise by -17.39%,-2.67%,9.13%
2023-01-06,113.06,2023-06-26,241.05,Buy,121 Days,-4.4,Rise by 16.3%,113.21%,122.34%
2023-05-01,161.83,2023-06-26,241.05,Buy,40 Days,-3.18,Rise by 6.15%,48.95%,171.29%
2023-11-01,205.66,2024-07-16,256.56,Buy,184 Days,-7.0,Rise by 18.08%,24.75%,196.04%
2024-04-02,166.63,2024-06-18,184.86,Buy,55 Days,-3.48,Rise by 6.15%,10.94%,206.98%
2025-02-03,383.68,2025-05-01,280.52,Buy,63 Days,-3.47,Rise by -14.38%,-26.89%,180.09%
2025-03-03,284.65,2025-05-01,280.52,Buy,43 Days,-5.44,Rise by -21.96%,-1.45%,178.64%
2025-03-13,240.68,2025-05-01,280.52,Buy,35 Days,-3.18,Rise by 19.72%,16.55%,195.2%
2025-04-01,268.46,2025-09-25,423.39,Buy,127 Days,-7.96,Rise by -17.36%,57.71%,252.91%
2025-07-01,300.71,2025-09-25,423.39,Buy,62 Days,-4.6,Rise by 10.59%,40.8%,293.7%
