Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2003-09-28,1.3425,2004-11-28,1.1387,Buy,304 Days,34.95,Rise by 1.82%,-15.18%,-15.18%,
2004-03-28,1.2837,2004-06-06,1.2393,Sell,49 Days,-11.11,Fall by 3.46%,3.46%,-11.72%,
2004-05-16,1.2969,2004-05-30,1.2517,Sell,9 Days,-10.53,Fall by 5.74%,3.49%,-8.24%,
2005-03-27,1.199,2005-06-26,1.275,Sell,64 Days,-18.71,Fall by -4.0%,-6.34%,-14.58%,
2005-05-29,1.2298,2008-03-02,1.0422,Buy,719 Days,20.72,Rise by 5.62%,-15.25%,-29.83%,
2005-08-21,1.2754,2005-09-04,1.2295,Sell,9 Days,-11.11,Fall by -1.12%,3.6%,-26.23%,
2006-01-08,1.2698,2006-05-07,1.2277,Sell,84 Days,-10.87,Fall by -1.54%,3.32%,-22.92%,
2006-04-23,1.2751,2006-05-07,1.2277,Sell,9 Days,-7.1,Fall by 4.16%,3.72%,-19.2%,
2008-03-30,0.9925,2008-11-16,1.1963,Buy,164 Days,8.0,Rise by 6.39%,20.53%,1.34%,
2009-03-22,1.1278,2010-10-17,0.953,Buy,409 Days,6.79,Rise by -3.33%,-15.5%,-14.16%,
2011-03-20,0.8993,2011-05-08,0.8699,Sell,34 Days,-11.63,Fall by 3.27%,3.27%,-10.89%,
2012-04-15,0.9111,2012-06-03,0.9716,Sell,34 Days,-13.42,Fall by -2.25%,-6.64%,-17.53%,
2013-05-12,0.9494,2025-06-29,0.8009,Buy,3164 Days,13.36,Rise by 0.75%,-15.64%,-33.18%,
2013-08-25,0.9236,2013-10-27,0.8922,Sell,44 Days,-13.9,Fall by 2.69%,3.4%,-29.78%,
2015-08-02,0.9683,2016-12-18,1.0298,Sell,359 Days,-19.6,Fall by 1.76%,-6.35%,-36.13%,
2016-01-17,1.0052,2016-02-14,0.9723,Sell,19 Days,-27.63,Fall by 4.88%,3.27%,-32.85%,
2016-11-20,1.0071,2023-12-31,0.8434,Buy,1854 Days,20.08,Rise by 0.61%,-16.25%,-49.11%,
2018-04-15,0.9623,2020-07-26,0.9253,Sell,594 Days,-16.67,Fall by -1.92%,3.84%,-45.26%,
2021-01-24,0.8854,2021-01-24,0.8854,Buy,0 Days,8.07,Rise by 0%,0.0%,-45.26%,
2021-10-03,0.9325,2022-05-15,1.003,Sell,159 Days,-12.57,Fall by 2.31%,-7.56%,-52.82%,
2023-06-11,0.8987,2023-06-11,0.8987,Buy,0 Days,20.25,Rise by 0%,0.0%,-52.82%,
2025-01-19,0.9112,2025-03-09,0.8833,Sell,34 Days,-15.14,Fall by 10.69%,3.06%,-49.76%,
2025-07-06,0.7941,2025-07-06,0.7941,Buy,0 Days,11.9,Rise by 0%,0.0%,-49.76%,
