Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-10-01,47.94,2022-04-12,58.7,Buy,137 Days,-8.95,Rise by 9.15%,22.44%,22.44%,
2022-09-01,52.265,2022-12-19,65.305,Buy,77 Days,-9.17,Rise by 4.59%,24.95%,47.39%,
2023-06-01,78.99,2023-08-11,90.8,Buy,51 Days,-4.27,Rise by 2.88%,14.95%,62.35%,
2024-08-05,126.0,2025-02-28,90.65,Buy,149 Days,-3.53,Rise by 9.18%,-28.06%,34.29%,
2024-11-01,111.94,2024-11-01,111.94,Buy,0 Days,-11.95,Rise by 0%,0.0%,34.29%,
2025-01-10,86.26,2025-06-18,74.01,Buy,113 Days,-4.12,Rise by 1.98%,-14.2%,20.09%,
2025-02-03,82.65,2025-02-03,82.65,Buy,0 Days,-9.77,Rise by 0%,0.0%,20.09%,
2025-04-04,62.55,2025-04-04,62.55,Buy,0 Days,-9.9,Rise by 0%,0.0%,20.09%,
2025-08-01,48.19,2025-08-01,48.19,Buy,0 Days,-32.44,Rise by 0%,0.0%,20.09%,
2025-09-04,56.14,2025-09-04,56.14,Buy,0 Days,-6.86,Rise by 0%,0.0%,20.09%,
