Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-02,20.5700,2021-12-08,21.6000,4 days,5.01%,5.0073%,Rise by 9.63%,5.0073%
Buy,2022-03-09,18.6800,2022-03-16,20.3500,5 days,8.94%,8.9400%,Rise by 16.49%,13.9473%
Buy,2022-05-13,19.1400,2022-05-17,20.2000,2 days,5.54%,5.5381%,Rise by 7.63%,19.4855%
Buy,2022-06-15,17.0500,2022-07-19,17.9100,24 days,5.04%,5.0440%,Rise by 5.57%,24.5295%
Buy,2022-09-27,15.3100,2022-10-04,16.3200,5 days,6.60%,6.5970%,Rise by 22.27%,31.1265%
Buy,2023-03-17,17.5200,2023-03-29,18.0600,8 days,3.08%,3.0822%,Rise by 6.34%,34.2087%
Buy,2023-08-21,19.2800,2023-09-08,18.3200,14 days,-4.98%,-4.9793%,Rise by -10.94%,29.2294%
Buy,2023-09-11,18.4200,2023-09-21,17.3600,8 days,-5.75%,-5.7546%,Rise by -11.02%,23.4748%
Buy,2023-09-25,17.1000,2023-10-13,15.9000,14 days,-7.02%,-7.0175%,Rise by -10.12%,16.4572%
Buy,2024-08-07,16.8100,2024-08-08,17.4700,1 days,3.93%,3.9262%,Rise by 23.97%,20.3835%
Buy,2025-02-26,24.7800,2025-03-10,21.9500,8 days,-11.42%,-11.4205%,Rise by -14.49%,8.9630%
Buy,2025-03-13,21.0000,2025-03-17,22.0500,2 days,5.00%,5.0000%,Rise by -14.0%,13.9630%
Buy,2025-04-02,20.9400,2025-04-08,17.3700,4 days,-17.05%,-17.0487%,Rise by -10.03%,-3.0857%
