Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2016-09-30,41.35,2017-07-31,54.2,Buy,215 days,Rise by 37.650000%,31.08,
2017-05-31,47.63,2017-11-30,56.65,Buy,130 days,Rise by 38.670000%,18.94,
2017-08-31,56.19,2018-06-30,59.58,Buy,216 days,Rise by 17.550000%,6.03,
2019-11-30,46.6,2020-09-30,68.18,Buy,216 days,Rise by 92.680000%,46.31,
2019-12-31,48.68,2020-09-30,68.18,Buy,195 days,Rise by 84.450000%,40.06,
2020-06-30,61.94,2020-11-30,75.44,Buy,108 days,Rise by 44.960000%,21.8,
2020-07-31,67.02,2021-01-31,86.79,Buy,130 days,Rise by 33.970000%,29.5,
2021-12-31,36.49,2022-06-30,32.76,Sell,128 days,Fall by 20.170000%,10.22,
2024-05-31,29.2,2025-08-31,38.18,Buy,325 days,Rise by 19.550000%,30.75,
2025-09-30,42.01,2025-09-30,42.01,Buy,0 days,Rise by -4.900000%,0.0,
